Summary:	This is a first pass of gathering and structuring key data to be used to build the WP3 minimal metadata model.											
Content:	The chosen sub-categories are shaped by common data categories collected by major catalogues such as Maelstrom. The chosen variables are either CINECA use case requirements, or variables that can be mapped to by the majority of CINECA cohorts, or typical metadata variables collected by major catalogues. We have applied ontology terms to variables (mostly from NCIT). We are also looking into cross referencing with existing minimal data models. 											
Possible next steps: 	Create application ontology and structure terms in a hierarchy for easier search. For each variable, specify values and associated ontology terms (eg. for gender - specify male/female/transgender/non-binary). 											
												
9 CINECA cohorts 	stand-alone cohorts	consortiums										
	CHILD	H3Africa										
	CARTaGENE	BIOS										
	CLSA	EGA										
	Estonian Biobank											
	CoLaus/PsyCoLaus											
	UK Biobank											
												
Broad category	Sub-category	Sub-category/variable	Variable	Question Description	Expected Answer Type	Ontology label 	Ontology ID	Ontology definition	Known num. of cohorts with this data (if greater zero) 	Use Cases Requirement		Notes
basic cohort attributes	aims and objectives			What are the aims and objectives of your cohort? 	Alphanumeric	Study Objective	NCIT:C93415	The reason for performing a study in terms of the scientific questions to be answered by the analysis of data collected during the study.	9			
	timeline			What is the timeline for your cohort study?	Alphanumeric	Timeline	NCIT:C54576	A chronological schedule of when activities or events occurred or will occur.	9			
	study design (eg. longitudinal)			What is the study design for your cohort study? 	MIABIS codes (Categorical)	Study Design	NCIT:C15320	A plan detailing how a study will be performed in order to represent the phenomenon under examination, to answer the research questions that have been asked, and defining the methods of data analysis. Study design is driven by research hypothesis being posed, study subject/population/sample available, logistics/resources: technology, support, networking, collaborative support, etc.…	9			
	population data (Population Group? NCIT:C17005)	location		What location is your cohort's population based in? 	Alphanumeric	Location	NCIT:C25341	A position, site, or point in space where something can be found.	9	4.1		
		criteria for enrollment and recruitment procedures		What is your cohort's criteria of enrollment or recruitment procedures? 	Alphanumeric	Inclusion Criteria	NCIT:C25532	Medical and/or social characteristics which are necessary for a subject to be allowed to participate in a clinical study, as outlined in the study protocol. Meeting inclusion criteria is not a sufficient condition for entry or recruitment of a subject into the study. Characteristics limiting the eligibility of a subject for the clinical study must be considered	6	4.1		
		num. participants		What are the number of participants in your cohort?	Numeric	Planned Subject Number	NCIT:C49692	The number of subjects entered in a clinical trial.	9	4.1		
	demographic data (NCIT:C142508)	sex(es) studied in cohort	** these are also captured in the survey category 	How many of each sex are studied in your cohort?	Numeric	Sex	NCIT:C28421	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.	9	5.3		
		gender(s) studied in cohort		How many of each gender are studied in your cohort? 	Numeric	Gender 	NCIT:C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.				
		age range		What is the age range of your cohort's participants?	Alphanumeric				6			
	data collection events			If data was collected over several events or time points, what are the events or time points? 	Alphanumeric							
biosample (NCIT:C43412)	sample type (Body fluid or substance NCIT:C13236)	urine		Have you collected this type of biosample?	Yes/No (Binary)	Urine	NCIT:C13283	The fluid that is excreted by the kidneys. It is stored in the bladder and discharged through the urethra.	4	5.1		
		blood	venous or arterial			Blood	NCIT:C12434	A liquid tissue; its major function is to transport oxygen throughout the body. It also supplies the tissues with nutrients, removes waste products, and contains various components of the immune system defending the body against infection. Several hormones also travel in the blood.	5			
			fasting or non-fasting									
		stool				Feces	NCIT:C13234	The material discharged from the bowel during defecation. It consists of undigested food, intestinal mucus, epithelial cells, and bacteria.	2			
		saliva				Saliva	NCIT:C13275	The watery fluid in the mouth made by the salivary glands. Saliva moistens food to help digestion and it helps protect the mouth against infections.	2			
		other										
	availability 			For each biosample present, is it available/accessible for research? 	DUO code(s)	Availability	NCIT:C25429	The quality of being obtainable or accessible and ready for use or service.	TBD	5.1		
	sample size			For each biosample present, what is the sample size? 	Numeric	Sample Size						
	processing method			For each biosample present, what was the processing method used? 	Alphanumeric (or Categorical?)	Methodology	NCIT:C86572	The system of methods followed in a particular discipline.	TBD	5.1		
	storage method			For each biosample present, what is the storage method? 	MIABIS codes (Categorical)	Defined Specimen Storage	NCIT:C93374	An administrative activity defined at a global library level that is an action of storing samples.	TBD	5.1		
laboratory measures (Laboratory Procedure NCIT:C25294)	microbiology (Microbiology Test  NCIT:C49188)	microbial data		Have you collected microbial data?	Yes/No (Binary)				TBD			
		biosample source/anatomical location		From where (specimen source site) have you collected microbial data?	Alphanumeric (or Categorical?)	Specimen Source Site	NCIT:C159256	A request to identify the specimen source site.				
		available data format(s)		For each specimen source site, what are the available data formats?	Alphanumeric (or Categorical?)	Format	NCIT:C42761	The organization of information according to preset specifications.	TBD			
	genomics (Molecular Analysis? NCIT:C19770)	data type	DNA/Genotyping	Have you collected this type of data?	Yes/No (Binary)	DNA Sequencing/Nucleic Acid Sequencing	NCIT:C153598/NCIT:C18881		9	4.1,4.2,5.2,5.3		
			WGS			Whole Genome Sequencing	NCIT:C101294		7	5.2,5.4		
			WES 			Whole Exome Sequencing	NCIT:C101295		4	5.2,5.4		
			Sequence variants (CNV, SNP arrays)			Single Nucleotide Polymorphism Profile	NCIT:C129888	The analysis of all of the single nucleotide polymorphisms in the genome of a biological sample.	TBD	5.2,5.3,5.4		
			Epigenetics			Epigenetic Profile	NCIT:C129887	The analysis of all of the epigenetic DNA modifications in the genome a biological sample.	4	5.2		
			Metagenomics			Metagenomics analysis	ERO:0000657 (***ERO is obsolete)	A molecular assay that is used to analyze metagenomic data; genetic material recovered directly from environmental samples for genomic research.	TBD	5.2		
			Microbiome markers (rRNA, etc)									
			RNAseq/gene expression			mRNA sequencing	NCIT:C129432	A procedure that can determine the RNA sequences for all or part of the poly-A tail-containing messenger RNA transcripts in an individual.	6	4.1,5.3		
			eQTL (Cis eQTLs and/or Trans eQTLs)			Expression Quantitative Trait Locus 	NCIT:C113415	A stretch of DNA at a particular chromosomal location that is able to regulate the expression of a specific mRNA or protein.	TBD	4.1		
			other									
		sample size		For each data type present, what is the sample size? 	Numeric	Sample Size	NCIT:C53190	A subset of a larger population, selected for investigation to draw conclusions or make estimates about the larger population.	TBD	all?		
		available data format(s)		For each data type present, what are the available data formats?	Alphanumeric (or Categorical?)	Format	NCIT:C42761	The organization of information according to preset specifications.	TBD	4.1		
