,STUDY,BIOENTITY,PROPERTY_TYPE,PROPERTY_VALUE,SEMANTIC_TAG,ANNOTATOR,ANNOTATION_DATE
0,IHCC Basic,https://purl.ihccglobal.org/GCS_FoodWatOthVeg,information_entity,FoodWatOthVeg,http://purl.obolibrary.org/obo/PATO_0001995,Knocean,"2020-08-27, 18:50:24"
1,IHCC Basic,https://purl.ihccglobal.org/GCS_Vitamin_B12,information_entity,Vitamin B12,http://purl.obolibrary.org/obo/GECKO_0000072,Knocean,"2020-08-27, 18:50:24"
2,IHCC Basic,https://purl.ihccglobal.org/GCS_TransfusionFlag,information_entity,TransfusionFlag,http://purl.obolibrary.org/obo/GECKO_0000091,Knocean,"2020-08-27, 18:50:24"
3,IHCC Basic,https://purl.ihccglobal.org/GCS_WeightLossIntent,information_entity,WeightLossIntent,http://purl.obolibrary.org/obo/OGMS_0000020,Knocean,"2020-08-27, 18:50:24"
4,IHCC Basic,https://purl.ihccglobal.org/GCS_City,information_entity,City,http://purl.obolibrary.org/obo/GECKO_0000064,Knocean,"2020-08-27, 18:50:24"
5,IHCC Basic,https://purl.ihccglobal.org/GCS_ast,information_entity,ast,http://purl.obolibrary.org/obo/UBERON_0000178,Knocean,"2020-08-27, 18:50:24"
6,IHCC Basic,https://purl.ihccglobal.org/GCS_HomePhone,information_entity,HomePhone,http://purl.obolibrary.org/obo/GECKO_0000052,Knocean,"2020-08-27, 18:50:24"
7,IHCC Basic,https://purl.ihccglobal.org/GCS_TobDaysPerWeek_2,information_entity,TobDaysPerWeek_2,http://purl.obolibrary.org/obo/GECKO_0000068,Knocean,"2020-08-27, 18:50:24"
8,IHCC Basic,https://purl.ihccglobal.org/GCS_TransfusionRecentFlag,information_entity,TransfusionRecentFlag,http://purl.obolibrary.org/obo/GECKO_0000091,Knocean,"2020-08-27, 18:50:24"
9,IHCC Basic,https://purl.ihccglobal.org/GCS_drugname_10,information_entity,drugname_10,http://purl.obolibrary.org/obo/PDRO_0000024,Knocean,"2020-08-27, 18:50:24"
10,IHCC Basic,https://purl.ihccglobal.org/GCS_rdw,information_entity,rdw,http://purl.obolibrary.org/obo/UBERON_0000178,Knocean,"2020-08-27, 18:50:24"
11,IHCC Basic,https://purl.ihccglobal.org/GCS_HusbandOccupation,information_entity,HusbandOccupation,http://purl.obolibrary.org/obo/PATO_0001995,Knocean,"2020-08-27, 18:50:24"
12,IHCC Basic,https://purl.ihccglobal.org/GCS_PropertyFreezerOwned,information_entity,PropertyFreezerOwned,http://purl.obolibrary.org/obo/PATO_0001995,Knocean,"2020-08-27, 18:50:24"
13,IHCC Basic,https://purl.ihccglobal.org/GCS_TobEndAge_4,information_entity,TobEndAge_4,http://purl.obolibrary.org/obo/GECKO_0000068,Knocean,"2020-08-27, 18:50:24"
14,IHCC Basic,https://purl.ihccglobal.org/GCS_SymRefluxFlag,information_entity,SymRefluxFlag,http://purl.obolibrary.org/obo/OGMS_0000020,Knocean,"2020-08-27, 18:50:24"
15,IHCC Basic,https://purl.ihccglobal.org/GCS_FriendCellPhone,information_entity,FriendCellPhone,http://purl.obolibrary.org/obo/GECKO_0000052,Knocean,"2020-08-27, 18:50:24"
16,IHCC Basic,https://purl.ihccglobal.org/GCS_BP,information_entity,Blood pressure measurements,http://purl.obolibrary.org/obo/CMO_0000003,Knocean,"2020-08-27, 18:50:24"
17,IHCC Basic,https://purl.ihccglobal.org/GCS_JobsIntensity,information_entity,JobsIntensity,http://purl.obolibrary.org/obo/PATO_0001995,Knocean,"2020-08-27, 18:50:24"
18,IHCC Basic,https://purl.ihccglobal.org/GCS_physactexmodminsduringwork,information_entity,physactexmodminsduringwork,http://purl.obolibrary.org/obo/GECKO_0000104,Knocean,"2020-08-27, 18:50:24"
19,IHCC Basic,https://purl.ihccglobal.org/GCS_drugdose_2,information_entity,drugdose_2,http://purl.obolibrary.org/obo/PDRO_0000024,Knocean,"2020-08-27, 18:50:24"
20,IHCC Basic,https://purl.ihccglobal.org/GCS_HeatAndFuelDuration_1,information_entity,HeatAndFuelDuration_1,http://purl.obolibrary.org/obo/PATO_0001995,Knocean,"2020-08-27, 18:50:24"
21,IHCC Basic,https://purl.ihccglobal.org/GCS_AnimalType_3,information_entity,AnimalType_3,http://purl.obolibrary.org/obo/PATO_0001995,Knocean,"2020-08-27, 18:50:24"
22,IHCC Basic,https://purl.ihccglobal.org/GCS_FoodWatBreadPreserve,information_entity,FoodWatBreadPreserve,http://purl.obolibrary.org/obo/PATO_0001995,Knocean,"2020-08-27, 18:50:24"
23,IHCC Basic,https://purl.ihccglobal.org/GCS_BdatePDate_M,information_entity,BdatePDate_M,http://purl.obolibrary.org/obo/PATO_0000011,Knocean,"2020-08-27, 18:50:24"
24,IHCC Basic,https://purl.ihccglobal.org/GCS_drugduration_4,information_entity,drugduration_4,http://purl.obolibrary.org/obo/PDRO_0000024,Knocean,"2020-08-27, 18:50:24"
25,IHCC Basic,https://purl.ihccglobal.org/GCS_CancRelICD10_2,information_entity,CancRelICD10_2,http://purl.obolibrary.org/obo/MONDO_0004992,Knocean,"2020-08-27, 18:50:24"
26,IHCC Basic,https://purl.ihccglobal.org/GCS_physactexmildminsnowork,information_entity,physactexmildminsnowork,http://purl.obolibrary.org/obo/GECKO_0000104,Knocean,"2020-08-27, 18:50:24"
27,IHCC Basic,https://purl.ihccglobal.org/GCS_drugfrequency_2,information_entity,drugfrequency_2,http://purl.obolibrary.org/obo/PDRO_0000024,Knocean,"2020-08-27, 18:50:24"
28,IHCC Basic,https://purl.ihccglobal.org/GCS_TEA,information_entity,Tea,http://purl.obolibrary.org/obo/PATO_0001995,Knocean,"2020-08-27, 18:50:24"
29,IHCC Basic,https://purl.ihccglobal.org/GCS_physactworkmonths,information_entity,physactworkmonths,http://purl.obolibrary.org/obo/GECKO_0000104,Knocean,"2020-08-27, 18:50:24"
30,IHCC Basic,https://purl.ihccglobal.org/GCS_physacthouseworkyears,information_entity,physacthouseworkyears,http://purl.obolibrary.org/obo/GECKO_0000104,Knocean,"2020-08-27, 18:50:24"
31,IHCC Basic,https://purl.ihccglobal.org/GCS_TobDaysPerWeek_1,information_entity,TobDaysPerWeek_1,http://purl.obolibrary.org/obo/GECKO_0000068,Knocean,"2020-08-27, 18:50:24"
32,IHCC Basic,https://purl.ihccglobal.org/GCS_FriendProvince,information_entity,FriendProvince,http://purl.obolibrary.org/obo/GECKO_0000052,Knocean,"2020-08-27, 18:50:24"
33,IHCC Basic,https://purl.ihccglobal.org/GCS_JobsTitleOccupation,information_entity,JobsTitleOccupation,http://purl.obolibrary.org/obo/PATO_0001995,Knocean,"2020-08-27, 18:50:24"
