STUDY	BIOENTITY	PROPERTY_TYPE	PROPERTY_VALUE	SEMANTIC_TAG	ANNOTATOR	ANNOTATION_DATE
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000078	information_entity	Blood	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000147	information_entity	Vitamin B12	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000002	information_entity	Core Questionnaires	http://purl.obolibrary.org/obo/GECKO_0000056	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000174	information_entity	HPV(Human Papillomavirus)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000142	information_entity	Eosinophil	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000062	information_entity	Core Blood test	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000030	information_entity	Total period of drinking	http://purl.obolibrary.org/obo/GECKO_0000069	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000025	information_entity	Total period of smoking	http://purl.obolibrary.org/obo/GECKO_0000068	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000197	information_entity	E.P. cells	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000109	information_entity	Ultrasound carotid Intima Media Thickness (IMT)	http://purl.obolibrary.org/obo/CMO_0000000	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000008	information_entity	Medical history	http://purl.obolibrary.org/obo/GECKO_0000056	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000049	information_entity	Age at each pregnancy	http://purl.obolibrary.org/obo/GECKO_0000114	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000081	information_entity	Psychosocial well-being status (PWI)	http://purl.obolibrary.org/obo/OGMS_0000020	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000093	information_entity	Activities of daily living (K-ADL, S-IADL)	http://purl.obolibrary.org/obo/OGMS_0000020	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000122	information_entity	hs-CRP	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000202	information_entity	Creatinine (Urine)	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000173	information_entity	Hepatitis A antibody (HAV)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000127	information_entity	Folate	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000013	information_entity	Treatment method (hypertension, diabetes, hyperlipidemia only)	http://purl.obolibrary.org/obo/GECKO_0000093	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000185	information_entity	Telomere length	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000069	information_entity	ALT (SGPT)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000138	information_entity	Chloride(Cl)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000170	information_entity	Renin	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000026	information_entity	Age at first smoking	http://purl.obolibrary.org/obo/GECKO_0000068	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000198	information_entity	Casts	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000036	information_entity	Snoring	http://purl.obolibrary.org/obo/GECKO_0000071	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000108	information_entity	X-ray (chest, hand, knee, C-spin)	http://purl.obolibrary.org/obo/CMO_0000000	Knocean	2020-09-07 18:36:33
