,STUDY,BIOENTITY,PROPERTY_TYPE,PROPERTY_VALUE,SEMANTIC_TAG,ANNOTATOR,ANNOTATION_DATE
0,IHCC Simple String,https://purl.ihccglobal.org/GCS_FoodWatOthVeg,information_entity,FoodWatOthVeg,http://purl.obolibrary.org/obo/PATO_0001995,Knocean,"2020-08-27, 18:50:24"
1,IHCC Simple String,https://purl.ihccglobal.org/GCS_FoodWatOthVeg,information_entity,FoodWatOthVeg,http://purl.obolibrary.org/obo/PATO_0001995,Knocean,"2020-08-27, 18:50:24"
2,IHCC Simple String,https://purl.ihccglobal.org/GCS_FoodWatOthVeg,information_entity,FoodWatOthVeg,http://purl.obolibrary.org/obo/PATO_0001995,Knocean,"2020-08-27, 18:50:24"
3,IHCC Simple String,https://purl.ihccglobal.org/GCS_FoodWatOthVeg,information_entity,Food Wat Oth Veg,http://purl.obolibrary.org/obo/PATO_0001995,Knocean,"2020-08-27, 18:50:24"
4,IHCC Simple String,https://purl.ihccglobal.org/GCS_Vitamin_B12,information_entity,Vitamin B12,http://purl.obolibrary.org/obo/GECKO_0000072,Knocean,"2020-08-27, 18:50:24"
5,IHCC Simple String,https://purl.ihccglobal.org/GCS_Vitamin_B12,information_entity,Vitamin B12,http://purl.obolibrary.org/obo/GECKO_0000072,Knocean,"2020-08-27, 18:50:24"
6,IHCC Simple String,https://purl.ihccglobal.org/GCS_Vitamin_B12,information_entity,Vitamin B 12,http://purl.obolibrary.org/obo/GECKO_0000072,Knocean,"2020-08-27, 18:50:24"
7,IHCC Simple String,https://purl.ihccglobal.org/GCS_Vitamin_B12,information_entity,Vitamin B 12,http://purl.obolibrary.org/obo/GECKO_0000072,Knocean,"2020-08-27, 18:50:24"
8,IHCC Simple String,https://purl.ihccglobal.org/GCS_TransfusionFlag,information_entity,TransfusionFlag,http://purl.obolibrary.org/obo/GECKO_0000091,Knocean,"2020-08-27, 18:50:24"
9,IHCC Simple String,https://purl.ihccglobal.org/GCS_TransfusionFlag,information_entity,TransfusionFlag,http://purl.obolibrary.org/obo/GECKO_0000091,Knocean,"2020-08-27, 18:50:24"
10,IHCC Simple String,https://purl.ihccglobal.org/GCS_TransfusionFlag,information_entity,TransfusionFlag,http://purl.obolibrary.org/obo/GECKO_0000091,Knocean,"2020-08-27, 18:50:24"
11,IHCC Simple String,https://purl.ihccglobal.org/GCS_TransfusionFlag,information_entity,Transfusion Flag,http://purl.obolibrary.org/obo/GECKO_0000091,Knocean,"2020-08-27, 18:50:24"
12,IHCC Simple String,https://purl.ihccglobal.org/GCS_WeightLossIntent,information_entity,WeightLossIntent,http://purl.obolibrary.org/obo/OGMS_0000020,Knocean,"2020-08-27, 18:50:24"
