Cohort Name,PI/Lead,Regions,Enroll Start,Enroll End,Enrolled,Target Enrollment,Genomic Data ,Env. Data,Bio specimens,Phenotypic Data,Data Sharing,Study website,Date Verified
23andMe,Joyce Tung,USA,2007,Ongoing,"6,800,000.00",,Yes,Yes,Yes,Yes,Yes,https://research.23andme.com/,Oct-19
45 and Up Study,Martin McNamara,Australia,2006,2009,"267,153.00",,Yes,Yes,Yes,Yes,Yes,https://www.saxinstitute.org.au/our-work/45-up-study/,Oct-19
Africa Health Research Institute (AHRI) Population Cohort,Willem Hankom,South Africa,2000,Ongoing,"130,000.00","130,000.00",Yes,,Yes,Yes,Yes,https://www.ahri.org,Oct-19
Apolipoprotein MORtality RISk study (AMORIS),Goran Walldius,Sweden,1985,1996,"812,073.00",,Yes,Yes,Yes,Yes,Yes,http://amoriscohort.imm.ki.se,Oct-19
Biobank Japan,Yoshinori Murakami,Japan,2003,2018,"270,000.00","270,000.00",Yes,Yes,Yes,Yes,,https://biobankjp.org/english/index.html,Oct-19
BioVU Vanderbilt,Dan Roden,USA,2007,Ongoing,"244,000.00",,Yes,No,Yes,Yes,Yes,https://victr.vanderbilt.edu/pub/biovu/,Oct-19
California Teachers Study (CTS),"Jim Lacey, Elena Martinez",USA,1995,1996,"133,477.00",,Yes,Yes,Yes,Yes,Yes,https://www.calteachersstudy.org/,
Canadian Partnership for Tomorrow's Health (CanPath),Philip Awadalla,Canada,2008,ongoing,330000,,Yes,Yes,Yes,Yes,Yes,https://canpath.ca/,Oct-19
Cancer Prevention Study II (CPS-II),Eric Jacobs,USA,1982,1983,,,Yes,Yes,,Yes,Yes,http://www.cancer.org/research/researchtopreventcancer/currentcancerpreventionstudies/index,Oct-19
Cancer Prevention Study II Nutrition Cohort,Alpa Patel,USA,1992,1993,,,Yes,Yes,Yes,Yes,,http://www.cancer.org/research/researchtopreventcancer/currentcancerpreventionstudies/cancer-prevention-study,Oct-19
Children's Hospital of Philadelphia (CHOP) Biorepository,Hakon Hakonarson,"USA, Europe, South America, Canada, Saudi Arabia, Australia",2006,ongoing,"500,000.00","1,000,000.00",Yes,Yes,Yes,Yes,Yes,https://www.research.chop.edu/biorepository-core,Oct-19
China Kadoorie Biobank,"Zhengming Chen,Liming Li",China,2004,2008,"512,891.00",,Yes,Yes,Yes,Yes,Yes,http://www.ckbiobank.org/site/,Oct-19
China PEACE (Patient-centered Evaluative Assessment of Cardiac Events) Million Persons Project,Linxin Jiang,China,2014,ongoing,"2,000,000.00","4,000,000.00",No,Yes,Yes,Yes,Yes,https://pubmed.ncbi.nlm.nih.gov/26729395/,Oct-19
Constances Project,Marie Zins,France,2012,2019,"210,000.00",,Yes,Yes,Yes,Yes,Yes,http://www.constances.fr/index_EN.php,Oct-19
Danish National Birth Cohort,Mads Melbye,Denmark,1998,2002,"198,028.00",,Yes,Yes,Yes,Yes,,dnbc.dk,Oct-19
East London Genes and Health,David van Heel,UK,2015,ongoing,"41,500.00","100,000.00",Yes,Yes,Yes,Yes,Yes,http://www.genesandhealth.org/,Oct-19
ELSA-Brasil,Paulo A. Lotufo,Brazil,2008,2010,"15,105.00",,Yes,Yes,Yes,Yes,Yes,www.elsa.org.br,Oct-19
Environmental influences on Child Health Outcomes (ECHO) Cohort,Matt Gillman,USA,1980,ongoing,,"100,000.00",Yes,Yes,Yes,Yes,Yes,https://www.nih.gov/echo,Oct-19
"EPIC (European Prospective Investigation into Cancer, Chronic Diseases, Nutrition and Lifestyle)","Elio Riboli, Paul Brennan, Marc Gunter","UK, Italy, France, Germany, Norway, Netherlands, Denmark, Spain, Greece, Sweden",1992,2023,"521,000.00",,Yes,Yes,Yes,Yes,Yes,http://epic.iarc.fr/,Oct-19
EpiHealth,"Lars Lind, Sölve Elmstålh",Sweden,2011,2018,"25,000.00","25,000.00",Yes,No,Yes,Yes,Yes,https://www.epihealth.se/vad-ar-epihealth/,Oct-19
