Item	Notes
A. Base Entities	The core entities on which longitudinal data will be collected. Each entity has a dated start and end event
1. Location	A place to which geo-coordinates can be assigned
a. Type	i. Dwelling. A place of residence within the boundaries of the demographic surveillance area   ii. Clinic. A primary health care facility, without overnight facilities   iii. Health Centre. A primary health care facility that is larger than a clinic with some overnight care facilities   iv. Hospital   v. Primary School. Teaching up Grade 7   vi. Secondary School. Teaching from Grade 8 to 12   vii. Creche. A pre-school child care facility   viii. Police station   ix. Tribal authority   x. Social service office   xi. Home affairs office
b. Area	Village or other higher level spatial grouping of locations
c. Coordinate	Latitude and longitude on the WGS84 coordinate system
2. Household	A household resident at a location within the boundary of the surveillance area. A household is defined as a social group of one or more individual members. Resident household members share the same dwelling as the household, non-resident household members are individuals who do not share the same dwelling as the household, but who eat from the same pot when they are present in the household’s dwelling.
a. Identifier	A unique household identifier which the household retains irrespective of its current residence
3. Individual	Household members, where a resident is a member of a household who normally lives (i.e. intends to sleep the majority of the time) at the same dwelling as the household; and a non-resident is a member of a household who does not normally live at the same dwelling as the household but is nevertheless considered a member of the household.
a. Identifier	A globally unique identifier used internally to uniquely identify the individual
b. External identifier	An identifier used on data collection instruments to uniquely identify the individual, but is removed together with other personally identifiable information when data is made available for analysis
c. Surname	Family or last name
d. Alternative surname	An alternative surname (formerly) used by the individual, e.g. maiden name
e. First name 1	The first given name of the individual
f. First name 2	The second/alternative given name of the individual
g. Civilian ID number	The 13-digit South African civilian identity number
h. Citizenship	The country of which the individual is a citizen
i. Nationality	The country of origin of the individual (the country of which the person is/was a citizen by birth)
j. Sex	Male (1), female(2) or unknown(0)
k. Birth	The Birth event of this individual or the DeliveryEvent resulting in the birth of this individual if the individual enters surveillance through birth
l. EndEvent	The death event of this individual or the Observation at which this individual was last observed
m. MotherId	The unique identifier of the mother of the individual, if the mother is enumerated in the surveillance
n. FatherId	The unique identifier of the father of the individual, if the father is enumerated in the surveillance
o. MotherSurname	The surname of the mother of the individual
p. MotherFirstName	The first name/s of the mother
q. FatherSurname	The surname of the father of the individual
r. FatherFirstName	The first name/s of the father
B. Events	Demographic events that delineate episodes of observation during longitudinal surveillance
1. Migration	A change in location of usual residence
a. Date	Date of migration
b. Type	i. Internal (change of location within surveillance area)   ii. External (change of location into/out of the surveillance area)
c. Direction	i. In (migration into this location)   ii. Out (migration out of this location)
d. Origin	Origin of the migration (location)
e. Destination	Destination of the migration (location)
f. Unit	Individual or household
2. Birth	The birth event of an individual
a. Date	Date of birth
b. Birth weight	Birth weight as obtained from the Road to Health card in grams
c. BirthCertificate	Whether the birth certificate was observed
d. DateRegistered	The date on which the birth was registered, or null if the birth hasn’t been registered yet
3. PregnancyOutcome	The end event of a pregnancy
a. Date	Date of birth
b. Type	i. Spontaneous abortion   ii. Assisted abortion   iii. Caesarean   iv. Assisted   v. Normal vaginal  Types i-ii is only applicable if the pregnancy end prior to the 28th week of pregnancy, types iii-v is applicable only on or after the 28th week of pregnancy
