Identifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohort ID,AME,UPS,AHRI,AOU,ACSCIII,ACSCII,AWG,BHP,BGI,BBJ,CGN,CTS,CPTH,CKB,CHOP,CSN,CON,CUE,DNB,DNBC,DPU,ELS,EPI,ESB,EPIC,GEV,GAH,GCH,HNP,ILHG,JHU,JPHC,KPRB,KEM,KBP,KCP,LIG,MUCHAP,MAU,MCPS,MCS,NICCC,NSH,NFBL,NHSI,NHSII,NIE,PLCO,SIM,QBC,QAG,SAPRIN,SBI,SGK,SHS,SAB,SAC,TWB,HUNT,TMC,TMM,UCL,UGPC,UKB,BDC,USN,VHM,WHI,UKLWC,GES,GEE,KOGES,BVU,ECHO,FMCS,GCO,NAKO,IGP,LFP,MVP,MWS,NTR,PGR,PCS,SNB,PEACE,MOBA
Cohort Name,23andMe,45 and Up Study,Africa Health Research Institute (AHRI) Population Cohort,All of Us / NIH,American Cancer Society Cancer Prevention Study-3,Cancer Prevention Study II Nutrition Cohort,"AWI-Gen, University of the Witwatersrand, Johannesburg",Bandim Health Project,BGI Research,Biobank Japan,C19-GenoNet,California Teachers Study (CTS),Canadian Partnership for Tomorrow's Health,China Kadoorie Biobank,"Center for Applied Genomics, Children's Hospital of Philadelphia","Civil Service Hospital, Minbhawan Kathmandu Nepal",CONSTANCES,Coronagenes/University of Edinburgh,Danish National Biobank,Danish National Birth Cohort/Statens Serum Institut,Dementias Platform UK,ELSA-Brasil,EpiHealth,Estonian Biobank,European Investigation of Cancer and Nutrition (EPIC),Generation Victoria (GenV),Genes & Health,Golestan Cohort Study,Healthy Nevada,International Laboratory for Human Genome Research,Johns Hopkins University,JPHC (Japan Public Health Center-based Prospective) Study and JPHC-NEXT Study,Kaiser Permanente Research Bank (KPRB),KEMRI-Wellcome,National Biobank of Korea,Korean Cancer Prevention Study (KCPS-II Biobank),LifeGene,"Iganga Mayuge HDSS, Makerere University Centre for Health and Population Research (MUCHAP)",MAUCO,National Autonomous University of Mexico,Multiethnic Cohort Study,NICCC,Northern Sweden Health and Disease ,Norwegian Family Based Life Course Study,Nurses' Health Study,"NHSII (Nurses' Health Study II, NCI)",Personalized Genes and Environment Study/NIEHS,"Prostate, Lung, Colorectal and Ovarian Cancer Screening Trial",SIMPLER,Qatar Biobank Cohort,Qatar Genome Project,SAPRIN (South African Population Research Infrastructure Network),Sequence Bio,SG100K,Shanghai Men and Women's Health Studies,South Asia Biobank,South(east) Asian Cohorts,Taiwan Biobank,"HUNT 70+, The HUNT Study",The Malaysian Cohort,"Tohoku University, Tohoku Medical Megabank Organization","UCL, UK",Uganda General Population Cohort/Uganda Genome Resource/ MRC Uganda,UK Biobank,UK Blood Donor Cohorts,US NIH,VHM&PP,WHI (Women's Health Initiative),UKCTOCS Longitudinal Women's Cohort (UKLWC),Generations Study,"Genomics England / 100,000 Genomes Project",Korean Genome and Epidemiology Study (KoGES),BioVU Vanderbilt,Environmental influences on Child Health Outcomes (ECHO) Cohort,Finnish Maternity Cohort Serum Bank,Geisinger Cohort - MyCode Community Health Initiative,German National Cohort (NAKO),Israel Genome Project,LIFEPATH (Lifecourse biological pathways underlying social differences in healthy aging),Million Veteran Program,Million Women Study,Netherlands Twin Registry,Pakistan Genomic Resource (PGR),PERSIAN Cohort Study,Saudi National Biobank,China PEACE (Patient-centered Evaluative Assessment of Cardiac Events) Million Persons Project,Norwegian Mother and Child Cohort Study (MoBa)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,For-profit member with academic/non-profit partner or academic agreement,Non-profit member with commercial/for-profit partner or industry agreement,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,For-profit member with academic/non-profit partner or academic agreement,Non-profit member with commercial/for-profit partner or industry agreement,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member with commercial/for-profit partner or industry agreement,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member with commercial/for-profit partner or industry agreement,Non-profit member only,Non-profit member with commercial/for-profit partner or industry agreement,Non-profit member only,For-profit member with academic/non-profit partner or academic agreement,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,OtherGeneral population who visted health check-up,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Other,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,For-profit member only,Non-profit member with commercial/for-profit partner or industry agreement,Non-profit member only,Non-profit member only,Non-profit member with commercial/for-profit partner or industry agreement,Non-profit member only,Non-profit member with commercial/for-profit partner or industry agreement,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,Non-profit member only,,,,,,,,,,,,,,,,,,
Dictionary harmonized,,,Yes,,,,,,,,,,Yes,,Yes,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,Yes,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,
License data dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rights data dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website,https://research.23andme.com/,https://www.saxinstitute.org.au/our-work/45-up-study/,https://www.ahri.org,https://allofus.nih.gov/,https://www.cancer.org/research/cps3-cancer-prevention-study-3.html,https://www.cancer.org/research/population-science/cancer-prevention-and-survivorship-research-team/acs-cancer-prevention-studies/cancer-prevention-study-2.html,https://www.wits.ac.za/research/sbimb/research/,https://www.bandim.org/,https://en.genomics.cn/,https://biobankjp.org/english/index.html,https://biobanco.uchile.cl/proyecto-c19-genonet-2/,https://www.calteachersstudy.org/,https://canpath.ca/,http://www.ckbiobank.org/site/,,,http://www.constances.fr/index_EN.php,https://www.ed.ac.uk/coronagenes/about/coronagenes-study,http://www.biobankdenmark.dk/,https://www.dnbc.dk/,https://portal.dementiasplatform.uk/,http://www.elsa.org.br/oelsabrasil.html,,https://genomics.ut.ee/en/content/estonian-biobank,http://epic.iarc.fr/,https://genv.org.au//,http://www.genesandhealth.org/,https://dceg2.cancer.gov/gemshare/studies/GCS/,Healthynv.org,,,http://epi.ncc.go.jp/en/jphc/,https://researchbank.kaiserpermanente.org/,www.kemri-wellcome.org/,,https://pubmed.ncbi.nlm.nih.gov/29186422/,https://lifegene.se/For-scientists/About-LifeGene/,https://muchap.org/,https://www.mauco.org/,https://www.ctsu.ox.ac.uk/research/prospective-blood-based-study-of-150-000-individuals-in-mexico,https://www.uhcancercenter.org/mec,,https://www.umu.se/en/biobank-research-unit/research/northern-sweden-health-and-disease-study-vip-monica-and-the-mammography-screening-project/,https://pubmed.ncbi.nlm.nih.gov/22735991/,www.nurseshealthstudy.org,www.nurseshealthstudy.org,https://www.niehs.nih.gov/research/clinical/studies/pegs/index.cfm,https://biometry.nci.nih.gov/cdas/studies/plco/,https://www.simpler4health.se/,https://www.qatarbiobank.org.qa,,http://saprin.mrc.ac.za/,https://www.sequencebio.com/,https://www.npm.sg/collaborate/partners/sg100k/,https://swhs-smhs.app.vumc.org/,,https://www.phpc.cam.ac.uk/ceu,https://www.twbiobank.org.tw/new_web/,http://www.ntnu.edu/hunt,http://www.ukm.my/mycohort/ms/,http://www.megabank.tohoku.ac.jp/english/,,https://www.sciencedirect.com/science/article/pii/S0092867419311201,http://www.ukbiobank.ac.uk/,http://www.intervalstudy.org.uk/,,https://www.i-med.ac.at/msig/vhmpp.html,https://www.whi.org/,https://directory.biobankinguk.org/Profile/Biobank/GBR-1-123,http://www.breakthroughgenerations.org.uk/home,https://www.genomicsengland.co.uk/,http://www.cdc.go.kr/contents.es?mid=a50401010100#1,https://victr.vumc.org/biovu-description/,http://www.echochildren.org/,http://esis.fi/description/,https://www.geisinger.org/mycode,http://nako.de/,https://www.academy.ac.il/Index3/Entry.aspx?nodeId=842&entryId=18745,http://www.lifepathproject.eu/,https://www.mvp.va.gov/webapp/mvp-web-participant/#/public,http://www.millionwomenstudy.org/introduction/,https://tweelingenregister.vu.nl/,https://www.cncdpk.com/,http://persiancohort.com,,https://pubmed.ncbi.nlm.nih.gov/26729395/,https://www.fhi.no/en/studies/moba/
PI/Lead name,Joyce Tung,Martin McNamara,Kobus Herbst,Geoff Ginsburg,Alpa Patel,Alpa Patel,Michele Ramsay,Peter Aaby,Xun Xu,Yoshinori Murakami,Ricardo Verdugo,Jim Lacey,Philip Awadalla,Zhengming Chen,Hakon Hakonarson,Rupesh Mishra ,Marcel Goldberg,Albert Tenesa,Lasse Boding,Anne-Marie Nybo Andersen,John Gallacher,PAULO A LOTUFO,Lars Lind,Andres Metspalu,David Hughes,Melissa Wake,David van Heel,Reza Malekzadeh,Joseph Grzymski,Claudia Gonzaga-Jauregui,Di Zhao,Norie Sawada,Sarah Rowell,Philip Bejon,Jae-Pil Jeon,Sun Ha Jee,Nancy Pedersen,Dan Kajungu,Catterina Ferreccio,Jonathan Emberson,Loic Le Marchand,"Gad Rennert MD, PhD,",Beatrice Melin,Øyvind Næss,Heather Eliassen,Heather Eliassen,Farida Akhtari,Paul Pinsky,Karl Michaëlsson,Nahla Afifi,hamdi mbarek,Kobus Herbst,Lynn Healey,John Chambers,Wei Zheng,John Chambers,Adam Butterworth,Chung-ke Chang,Steinar Krokstad,Rahman Jamal,Masayuki Yamamoto,Professor Usha Menon,Segun Fatumo,Rory Collins,Adam Butterworth,Matthew W Gillman,Hanno Ulmer,Garnet Anderson,Usha Menon,Richard Houlston,Mark Caulfield,Dr Lee,Dan Roden,Matt Gillman,Heljä-Marja Surcel ,Natasha Strande,Annette Peters,Gad Rennert,Terrence Simmons,Mike Gaziano,Valerie Beral,Dorret Boomsma,Danish Salaheen,"Reza Malekzadeh, Hossein Poustchi, Farin Kamangar, Arash Etemadi",Jahad Alghamdi,Linxin Jiang,Camilla Stoltenberg
Countries,USA ,Australia,South Africa,USA,USA,USA,"South Africa, Ghana, Burkina Faso,  Kenya",Guinea-Bissau,China,Japan,Chile,USA,Canada,China,USA,Nepal ,France,United Kingdom,Denmark,Denmark,"United Kingdom, France, South Korea",Brazil,Sweden,Estonia,"United Kingdom, Italy, France, Germany, Norway, Netherlands, Denmark, Spain, Greece, Sweden",Australia,United Kingdom,Iran,USA,Mexico,South Korea,Japan,USA,Kenya,Korea,South Korea,Sweden,Uganda,Chile,Mexico,USA,Israel,Sweden,Norway,USA,USA,USA,USA,Sweden,Qatar,Qatar,South Africa,Canada,Singapore,China,"India, Sri Lanka, Bangladesh",Southeastern Asia,Taiwan,Norway,Malaysia,Japan,United Kingdom,Uganda,United Kingdom,United Kingdom,USA,Germany,USA,United Kingdom,United Kingdom,United Kingdom,"South Korea, Vietnam, Cambodia, Japan, China",USA,USA,Finland,USA,Germany,Israel,"Europe, Australia, USA",USA,United Kingdom,Netherlands,Pakistan,Iran,Saudi Arabia,China,Norway
