Field Label	Class Type	GECKO Label	Definition	Comment																			
LABEL	CLASS_TYPE	C % SPLIT=|																					
Identity		GCS	Identity and contact information																				
Demographic Info	equivalent	demographic data	Demographic characteristics: sex, age, ethnicity, marital status, education																				
Family members	subclass	family and household structure	Characteristics of relatives in the household																				
Residence	equivalent	residence	The residential area (urban/rural), structure of the house, and duration of residing in the house																				
Water and fuel source		GCS	Water source, heat and fuel system, and cooking method																				
Job	equivalent	occupation	The names of all jobs the participant has had and the duration of work																				
Food preservation and cooking		GCS	Food preservation, frying, boiling, BBQ, steaming, …																				
Properties		GCS	Transferable and non-transferable belongings and wealth score (Multiple Correspondence Analysis)																				
Medical History	equivalent	clinical history	Suffering from any disease at the baseline of cohort																				
Chief complaints		GCS	The complaints of participants from their physical or mental sufferings																				
Cancer History	equivalent	clinical history of cancer	History of cancer, site, and age diagnosed in the participant or any of his/her relatives																				
Smoking	equivalent	tobacco	Ever or current smoker, age of use, type, number per day and days per week																				
Opium use	equivalent	opiate use history	Ever or current user, age and route of use, type, time per day and days per week																				
Alcohol use	equivalent	alcohol	Ever or current user, age of use, type, quantity per episode and episodes per month																				
Drug history (1)	equivalent	recreational drug use history	The main created categories of drugs consumed by participants																				
Drug History (2)	equivalent	recreational drug use history	The exact name, duration, dose, and frequency of drugs consumed																				
Oral health	equivalent	oral health history	Decayed, filled, and missing teeth along with the age of the participant in each of these occasions																				
Tea		GCS	Tea temperature, type of tea, and type of habit for drinking the tea																				
Physical activity	equivalent	physical activity	The duration and intensity of physical activities during working and leasure times of the day, and Metabolic Equivalent Task (MET)																				
Animal contact		GCS	The age of the participant in contact with animals, the duration and intensity of animal contact, and the type of animal																				
Anthropometric measurements	equivalent	anthropometry	Physically measured height, weight, waist circumference, hip circumference and data of pictogram																				
Blood pressure measurements	equivalent	blood pressure	Both systolic and diastolic blood pressure measured in sitting position twice from each arm																				
Food Frequency Questionnaire	equivalent	Food Frequency Questionnaire result	Units of food categories consumed per day																				
Lab markers		GCS	Biochemical markers																				
PID			The Unique Id for eatch participant																				
FirstName			The first name of participant.																				
LastName			The last name of participant.																				
Province	subclass	residence	Specifies the participant Province of Residence																				
District	subclass	residence	Specifies the participant District of Residence																				
City	subclass	residence	Specifies the participant City of Residence																				
Subdistrict	subclass	residence	Specifies the participant Subdistrict of Residence																				
Village	subclass	residence	Specifies the participant Village of Residence																				
Street	subclass	residence	Specifies the participant Street of Residence																				
Alley	subclass	residence	Specifies the participant Alley of Residence																				
CV name	subclass	residence	Specifies the names of cities or villages in one variable																				
City_Village	subclass	residence	Specifies residence in cities or villages																				
HouseNumber	subclass	residence	Specifies the participant's House Number of Residence																				
ZipCode	subclass	residence	Specifies the participant's Zip Code of Residence																				
HomePhone			Specifies the participants Home Phone																				
AreaCode			Specifies the participant's home Phone Area Code																				
CellPhone			Specifies the participant's Cell phone number																				
HealthCenter			participant related to this health center(the participant covered by this health center)																				
FamilyMemPhone			Specifies the phone number of one of participant's family members																				
FamilyMemAreaCode			Specifies the area code of the phone number of one of participant's family members																				
FamilyMemName			Specifies the name of one family member of the participant																				
FriendName			Specifies the name of one of friends of the participant																				
FriendProvince			Specifies the province in which the friend of the participant resides																				
FriendDistrict			Specifies the district in which the friend of the participant resides																				
FriendCity			Specifies the city in which the friend of the participant resides																				
FriendSubdistrict			Specifies the subdistrict in which the friend of the participant resides																				
FriendVillage			Specifies the village in which the friend of the participant resides																				
FriendStreet			Specifies the street in which the friend of the participant resides																				
FriendAlley			Specifies the alley in which the friend of the participant resides																				
FriendHouseNumber			Specifies the house number in which the friend of the participant resides																				
FriendZipCode			Specifies the zip code in which the friend of the participant resides																				
FriendHomePhone			Specifies the phone number of the participant's friend																				
FriendAreaCode			Specifies the area code of the phone number of participant's friend																				
FriendCellPhone			Specifies the cell phone number of participant's friend																				
PlaceOfInterview			Specifies the participant interview place																				
InterviewPDate_Y			participant year of Interview date in Shamsi format																				
InterviewPDate_M			participant month of Interview date in Shamsi format																				
InterviewPDate_D			participant Day of Interview date in Shamsi format																				
Gender	equivalent	gender	Specifies the participant Gender																				
BdatePDate_Y	subclass	age/birthdate	Year of participant Birth date in Shamsi format																				
BdatePDate_M	subclass	age/birthdate	Month of participant Birth date in Shamsi format																				
BdatePDate_D	subclass	age/birthdate	Day of participant Birth date in Shamsi format																				
Age_self	subclass	age/birthdate	Specifies the self-report participant age in inteview time																				
Age_new	subclass	age/birthdate	Age calculated from birth date and interview date																				
Ethnicity	equivalent	ethnicity/race	Specifies the participant Ethnicity																				
ethnicity_new	subclass	ethnicity/race	Specifies ethnicity by Turkmen or Non-turkmen																				
MaritalStatus	equivalent	marital status value	Specifies the participant marital status																				
marital_new	subclass	marital status value	Specifies marital status into married or non-married																				
Education	equivalent	education	Specifies the participant Education Level																				
FamilyInHousehold	subclass	family and household structure	Specifies the number of participant family living in the household																				
BrothersN	subclass	family and household structure	Specifies participant No. of Brothers																				
StepbrothersN	subclass	family and household structure	Specifies participant No. of Step brothers																				
SistersN	subclass	family and household structure	Specifies participant No. of Sisters																				
Stepsisters	subclass	family and household structure	Specifies participant No. of Step sisters																				
Sons	subclass	family and household structure	Specifies participant No. of Sons																				
Daughters	subclass	family and household structure	Specifies participant No. of Daughters																				
TwinYesNo	subclass	family and household structure	Specifies whether the participant has twin brother or sister																				
TwinAlive	subclass	family and household structure	Specifies whether the twin of the participant is alive																				
ResDuration_1	subclass	residence	Specifies the participant first residence history Duration																				
ResCitVill_1	subclass	residence	Specifies the participant first residence history in Village or City																				
ResDistrict_1	subclass	residence	Specifies the participant first residence history District																				
ResCitVillname_1	subclass	residence	Specifies the participant first residence history City or village name																				
ResHouseType_1	subclass	residence	Specifies the participant first residence history House Type																				
ResDuration_2	subclass	residence	Specifies the participant second residence history Duration																				
ResCitVill_2	subclass	residence	Specifies the participant second residence history in Village or City																				
ResDistrict_2	subclass	residence	Specifies the participant second residence history District																				
ResCitVillname_2	subclass	residence	Specifies the participant second residence history City or village name																				
ResHouseType_2	subclass	residence	Specifies the participant second residence history House Type																				
ResDuration_3	subclass	residence	Specifies the participant third residence history Duration																				
ResCitVill_3	subclass	residence	Specifies the participant third residence history in Village or City																				
ResDistrict_3	subclass	residence	Specifies the participant third residence history District																				
ResCitVillname_3	subclass	residence	Specifies the participant third residence history City or village name																				
ResHouseType_3	subclass	residence	Specifies the participant third residence history House Type																				
FoodWatSource			Specifies participant used water source																				
FoodWatYearsPipe			Specifies how many years participant used pipe water																				
FoodWatPriorPipeSource			Specifies what water source participant used prior to pipe water																				
HeatAndFuelDuration_1			Specifies the duration the participant Used Heating or Fuel system, first history																				
HeatingSystemType_1			Specifies the participant Used Heating Type, first history																				
HeatMethod_1			Specifies the participant Used Heating Type of fuel, first history																				
CookingMethod_1			Specifies the participant Used Cooking Type of fuel, first history																				
