"ID","Field Label","Class Type","GECKO Label","Definition","Comment",,,,,,,,,,,,,,,,,,,
"ID",,"CLASS_TYPE","C % SPLIT=|",,,,,,,,,,,,,,,,,,,,,
"GCS:ID","Identity",,"GCS","Identity and contact information",,,,,,,,,,,,,,,,,,,,
"GCS:DEMO","Demographic Info","equivalent","demographic data","Demographic characteristics: sex, age, ethnicity, marital status, education",,,,,,,,,,,,,,,,,,,,
"GCS:FAM","Family members","subclass","family and household structure","Characteristics of relatives in the household",,,,,,,,,,,,,,,,,,,,
"GCS:RESID","Residence","equivalent","residence","The residential area (urban/rural), structure of the house, and duration of residing in the house",,,,,,,,,,,,,,,,,,,,
"GCS:SOURCE","Water and fuel source",,"GCS","Water source, heat and fuel system, and cooking method",,,,,,,,,,,,,,,,,,,,
"GCS:JOB","Job","equivalent","occupation","The names of all jobs the participant has had and the duration of work",,,,,,,,,,,,,,,,,,,,
"GCS:FOOD","Food preservation and cooking",,"GCS","Food preservation, frying, boiling, BBQ, steaming, …",,,,,,,,,,,,,,,,,,,,
"GCS:PROP","Properties",,"GCS","Transferable and non-transferable belongings and wealth score (Multiple Correspondence Analysis)",,,,,,,,,,,,,,,,,,,,
"GCS:MED","Medical History","equivalent","clinical history","Suffering from any disease at the baseline of cohort",,,,,,,,,,,,,,,,,,,,
"GCS:CC","Chief complaints",,"GCS","The complaints of participants from their physical or mental sufferings",,,,,,,,,,,,,,,,,,,,
"GCS:CANCER","Cancer History","equivalent","clinical history of cancer","History of cancer, site, and age diagnosed in the participant or any of his/her relatives",,,,,,,,,,,,,,,,,,,,
"GCS:SMOK","Smoking","equivalent","tobacco","Ever or current smoker, age of use, type, number per day and days per week",,,,,,,,,,,,,,,,,,,,
"GCS:OPIUM","Opium use","equivalent","opiate use history","Ever or current user, age and route of use, type, time per day and days per week",,,,,,,,,,,,,,,,,,,,
"GCS:ALC","Alcohol use","equivalent","alcohol","Ever or current user, age of use, type, quantity per episode and episodes per month",,,,,,,,,,,,,,,,,,,,
"GCS:DRUGCAT","Drug history (1)","equivalent","recreational drug use history","The main created categories of drugs consumed by participants",,,,,,,,,,,,,,,,,,,,
