Label	Class Type	GECKO Label	GE Parents	Comment																				
LABEL	CLASS_TYPE	C % SPLIT=|																						
System Data		Genomics England																						
Augmented/critical care period		history of augmented care|timeline																						
Diagnosis		Genomics England																						
Patient Data		Genomics England																						
Admissions; Period of Care		Genomics England		 ?																				
Psychiatric		Genomics England																						
Maternity		Genomics England																						
Geographical		Genomics England																						
Episodes and spells; Period of care		Genomics England																						
Clinical		Genomics England																						
Clinical; Period of Care		Genomics England																						
Practitioner		Genomics England																						
Organisation		Genomics England																						
Discharges; Period of Care		Genomics England																						
Healthcare resource groups (HRG) data		Genomics England																						
Patient Pathway		Genomics England																						
Socio-economic		Genomics England																						
Procedure		Genomics England																						
Organisation data		Genomics England																						
System data		Genomics England																						
EPISODE MATCH RANK			Administrative																					
episode_matched			Administrative																					
Gender			Administrative																					
HESID Matched			Administrative																					
Hesid Rank			Administrative																					
modified_date			Administrative																					
patient_death			Administrative																					
Procedure Revision Flag			Administrative																					
Proms Procedure Code			Administrative																					
proms_proc_group			Administrative																					
proms_serial_no			Administrative																					
Date of admission		life stage/time point	Admissions; Period of Care																					
Method of admission			Admissions; Period of Care	waiting list or not waiting list																				
Admission source			Admissions; Period of Care	where patient was prior to admission (hotel, home, court, psychiatrict, etc.)																				
Date of decision to admit		life stage/time point	Admissions; Period of Care	date and time-related or timeline?																				
Duration of elective wait (submitted)		life stage/time point	Admissions; Period of Care	date decided to admit -> actual admission date for elective admission - date and time-related or timeline?																				
Calculation of Elecdur		life stage/time point	Admissions; Period of Care	above for waiting list or booked admissions 																				
First regular day or night admission			Admissions; Period of Care																					
Financial Year			Admissions; Period of Care|Appointments|Administrative																					
Age Band 10 years		age/birthdate	Age Bands																					
ic_age17_60		age/birthdate	Age Bands																					
ic_age17_64		age/birthdate	Age Bands																					
Age Band 5 years		age/birthdate	Age Bands																					
ic_age50_74		age/birthdate	Age Bands																					
ic_agechild		age/birthdate	Age Bands																					
Appointment date			Appointments																					
Attendance type			Appointments																					
Attended or did not attend			Appointments																					
Location Class			Appointments																					
Location Tyoe			Appointments																					
Outcome of attendance			Appointments																					
Priority type			Appointments																					
Service type requested			Appointments																					
Medical staff type seeing patient			Appointments																					
Code of patient‚Äôs registered or referring general medical practitioner			Appointments|Practitioner data																					
Arrival mode			Attendances																					
Attendances excluding planned			Attendances																					
Attendance category			Attendances																					
Attendance disposal			Attendances																					
Department type			Attendances																					
Incident location type			Attendances																					
Patient group			Attendances																					
Source of referral for A&E			Attendances																					
Arrival date			Attendances																					
Arrival time			Attendances																					
Duration to conclusion			Attendances																					
Conclusion time			Attendances																					
Duration to departure			Attendances																					
Departure time			Attendances																					
Duration to assessment			Attendances																					
Initial assessment time			Attendances																					
Duration to treatment			Attendances																					
Time seen for treatment			Attendances																					
ACPDISP_N		history of augmented care	Augmented/critical care period	destination of discharged patient (e.g. ICU, home, death, etc.)																				
ACPDISP_N		history of augmented care	Augmented/critical care period																					
ACPDISP_N		history of augmented care	Augmented/critical care period																					
ACPDISP_N		history of augmented care	Augmented/critical care period																					
ACPDISP_N		history of augmented care	Augmented/critical care period																					
ACPDISP_N		history of augmented care	Augmented/critical care period																					
ACPDISP_N		history of augmented care	Augmented/critical care period																					
ACPDISP_N		history of augmented care	Augmented/critical care period																					
ACPDISP_N		history of augmented care	Augmented/critical care period																					
ACPDQIND_N			Augmented/critical care period	quality of data																				
ACPEND_N		history of augmented care|life stage/time point	Augmented/critical care period	end date of augmented care																				
ACPEND_N		history of augmented care|life stage/time point	Augmented/critical care period																					
ACPEND_N		history of augmented care|life stage/time point	Augmented/critical care period																					
ACPEND_N		history of augmented care|life stage/time point	Augmented/critical care period																					
ACPEND_N		history of augmented care|life stage/time point	Augmented/critical care period																					
ACPEND_N		history of augmented care|life stage/time point	Augmented/critical care period																					
ACPEND_N		history of augmented care|life stage/time point	Augmented/critical care period																					
ACPEND_N		history of augmented care|life stage/time point	Augmented/critical care period																					
ACPEND_N		history of augmented care|life stage/time point	Augmented/critical care period																					
ACPLOC_N		history of augmented care	Augmented/critical care period	location of augmented care																				
