ID	Label	Class Type	GECKO Label	GE Parents	Comment																				
ID		CLASS_TYPE	C % SPLIT=|		A comment																				
GE:diaga_01	A&E diagnosis - anatomical area			Clinical Diagnoses	disease or trauma																				
GE:diags_01	A&E diagnosis - anatomical side			Clinical Diagnoses	disease or trauma																				
GE:diag2_01	A&E diagnosis: 2 character			Clinical diagnoses	disease or trauma																				
GE:invest_01	A&E investigation		laboratory measures|physiological measurements	Clinical Investigations	should I use OR or just two parents?																				
GE:invest2_01	A&E Investigation: 2 character		laboratory measures|physiological measurements	Clinical Investigations																					
GE:treat_01	A&E treatment		medication|non-pharmacological interventions	Clinical Treatments																					
GE:treat2_01	A&E Treatment: 2 character		medication|non-pharmacological interventions	Clinical Treatments																					
GE:acardsupdays	acardsupdays		history of cardiovascular support	Critical care adult activity data																					
GE:acpdisp_1	ACPDISP_N		history of augmented care	Augmented/critical care period	destination of discharged patient (e.g. ICU, home, death, etc.)																				
GE:acpdisp_2	ACPDISP_N		history of augmented care	Augmented/critical care period																					
GE:acpdisp_3	ACPDISP_N		history of augmented care	Augmented/critical care period																					
GE:acpdisp_4	ACPDISP_N		history of augmented care	Augmented/critical care period																					
GE:acpdisp_5	ACPDISP_N		history of augmented care	Augmented/critical care period																					
GE:acpdisp_6	ACPDISP_N		history of augmented care	Augmented/critical care period																					
GE:acpdisp_7	ACPDISP_N		history of augmented care	Augmented/critical care period																					
GE:acpdisp_8	ACPDISP_N		history of augmented care	Augmented/critical care period																					
GE:acpdisp_9	ACPDISP_N		history of augmented care	Augmented/critical care period																					
GE:acpdqind_2	acpdqind_2		Genomics England																						
GE:acpdqind_3	acpdqind_3		Genomics England																						
GE:acpdqind_4	acpdqind_4		Genomics England																						
GE:acpdqind_5	acpdqind_5		Genomics England																						
GE:acpdqind_6	acpdqind_6		Genomics England																						
GE:acpdqind_7	acpdqind_7		Genomics England																						
GE:acpdqind_8	acpdqind_8		Genomics England																						
GE:acpdqind_9	acpdqind_9		Genomics England																						
GE:acpdqind_1	ACPDQIND_N			Augmented/critical care period	quality of data																				
GE:acpend_1	ACPEND_N		history of augmented care|life stage/time point	Augmented/critical care period	end date of augmented care																				
GE:acpend_2	ACPEND_N		history of augmented care|life stage/time point	Augmented/critical care period																					
GE:acpend_3	ACPEND_N		history of augmented care|life stage/time point	Augmented/critical care period																					
GE:acpend_4	ACPEND_N		history of augmented care|life stage/time point	Augmented/critical care period																					
GE:acpend_5	ACPEND_N		history of augmented care|life stage/time point	Augmented/critical care period																					
GE:acpend_6	ACPEND_N		history of augmented care|life stage/time point	Augmented/critical care period																					
GE:acpend_7	ACPEND_N		history of augmented care|life stage/time point	Augmented/critical care period																					
GE:acpend_8	ACPEND_N		history of augmented care|life stage/time point	Augmented/critical care period																					
GE:acpend_9	ACPEND_N		history of augmented care|life stage/time point	Augmented/critical care period																					
GE:acploc_1	ACPLOC_N		history of augmented care	Augmented/critical care period	location of augmented care																				
GE:acploc_2	ACPLOC_N		history of augmented care	Augmented/critical care period																					
GE:acploc_3	ACPLOC_N		history of augmented care	Augmented/critical care period																					
GE:acploc_4	ACPLOC_N		history of augmented care	Augmented/critical care period																					
GE:acploc_5	ACPLOC_N		history of augmented care	Augmented/critical care period																					
GE:acploc_6	ACPLOC_N		history of augmented care	Augmented/critical care period																					
GE:acploc_7	ACPLOC_N		history of augmented care	Augmented/critical care period																					
GE:acploc_8	ACPLOC_N		history of augmented care	Augmented/critical care period																					
GE:acploc_9	ACPLOC_N		history of augmented care	Augmented/critical care period																					
GE:acpn_1	ACPN_N		history of augmented care	Augmented/critical care period	order of an episode during augmented care																				
GE:acpn_2	ACPN_N		history of augmented care	Augmented/critical care period																					
GE:acpn_3	ACPN_N		history of augmented care	Augmented/critical care period																					
GE:acpn_4	ACPN_N		history of augmented care	Augmented/critical care period																					
GE:acpn_5	ACPN_N		history of augmented care	Augmented/critical care period																					
GE:acpn_6	ACPN_N		history of augmented care	Augmented/critical care period																					
GE:acpn_7	ACPN_N		history of augmented care	Augmented/critical care period																					
GE:acpn_8	ACPN_N		history of augmented care	Augmented/critical care period																					
GE:acpn_9	ACPN_N		history of augmented care	Augmented/critical care period																					
GE:acpout_1	ACPOUT_N		history of augmented care	Augmented/critical care period	death and organ donation																				
GE:acpout_2	ACPOUT_N		history of augmented care	Augmented/critical care period																					
GE:acpout_3	ACPOUT_N		history of augmented care	Augmented/critical care period																					
GE:acpout_4	ACPOUT_N		history of augmented care	Augmented/critical care period																					
GE:acpout_5	ACPOUT_N		history of augmented care	Augmented/critical care period																					
GE:acpout_6	ACPOUT_N		history of augmented care	Augmented/critical care period																					
GE:acpout_7	ACPOUT_N		history of augmented care	Augmented/critical care period																					
GE:acpout_8	ACPOUT_N		history of augmented care	Augmented/critical care period																					
GE:acpout_9	ACPOUT_N		history of augmented care	Augmented/critical care period																					
GE:acpplan_1	ACPPLAN_N		history of augmented care	Augmented/critical care period	was augmented care planned before admission?																				
GE:acpplan_2	ACPPLAN_N		history of augmented care	Augmented/critical care period																					
GE:acpplan_3	ACPPLAN_N		history of augmented care	Augmented/critical care period																					
GE:acpplan_4	ACPPLAN_N		history of augmented care	Augmented/critical care period																					
GE:acpplan_5	ACPPLAN_N		history of augmented care	Augmented/critical care period																					
GE:acpplan_6	ACPPLAN_N		history of augmented care	Augmented/critical care period																					
GE:acpplan_7	ACPPLAN_N		history of augmented care	Augmented/critical care period																					
GE:acpplan_8	ACPPLAN_N		history of augmented care	Augmented/critical care period																					
GE:acpplan_9	ACPPLAN_N		history of augmented care	Augmented/critical care period																					
GE:acpsour_1	ACPSOUR_N		history of augmented care	Augmented/critical care period	location of patient before augmented care (e.g. ICU, recovery, ER, etc.)																				
GE:acpsour_2	ACPSOUR_N		history of augmented care	Augmented/critical care period																					
GE:acpsour_3	ACPSOUR_N		history of augmented care	Augmented/critical care period																					
GE:acpsour_4	ACPSOUR_N		history of augmented care	Augmented/critical care period																					
GE:acpsour_5	ACPSOUR_N		history of augmented care	Augmented/critical care period																					
GE:acpsour_6	ACPSOUR_N		history of augmented care	Augmented/critical care period																					
GE:acpsour_7	ACPSOUR_N		history of augmented care	Augmented/critical care period																					
GE:acpsour_8	ACPSOUR_N		history of augmented care	Augmented/critical care period																					
GE:acpsour_9	ACPSOUR_N		history of augmented care	Augmented/critical care period																					
GE:actual_dose_per_administration	actual_dose_per_administration		posology																						
GE:admincatst	Admin category at start of episode			Patient Data																					
GE:admincat	ADMINCAT			Patient Data	what kind of patient (NHS, private, amenity, category II)																				
GE:administration_date	administration_date		administration method																						
GE:administration_route	administration_route		administration method																						
GE:administrative	Administrative				not sure this maps to anything																				
GE:category	Administrative & legal status of patient			Patient Data	patient formally detained? e.g. psychiatric																				
GE:admisorc	Admission source			Admissions; Period of Care	where patient was prior to admission (hotel, home, court, psychiatrict, etc.)																				
GE:admissions_period_of_care	Admissions; Period of Care		Genomics England		 ?																				
GE:aekey_flag	AEKEY flag			System Data																					
GE:activage	Age at activity date		age/birthdate	Patient Data																					
GE:endage	Age at end of episode		age/birthdate	Patient Data																					
GE:censage	Age at psychiatric census date		mental and behaviour disorders|life stage/time point	Psychiatric	age at psychiatric census																				
GE:startage	Age at start of episode			Patient Data																					
GE:startage_calc	Age at start of episode - babies decimalised			Patient Data																					
GE:ic_age10	Age Band 10 years		age/birthdate	Age Bands																					
