"ID","Field Label","Class Type","GECKO Label","GECKO Comment",,,,,,,,,,,,,,,,,,,
"ID",,"CLASS_TYPE","C % SPLIT=|","A comment",,,,,,,,,,,,,,,,,,,
"KoGES:0000001","Core Variables",,"KoGES",,,,,,,,,,,,,,,,,,,,
"KoGES:0000002","Core Questionnaires","equivalent","questionnaire/survey data",,,,,,,,,,,,,,,,,,,,
"KoGES:0000003","Socio-demographic data","equivalent","socio-demographic and economic characteristics",,,,,,,,,,,,,,,,,,,,
"KoGES:0000004","Education level","equivalent","education",,,,,,,,,,,,,,,,,,,,
"KoGES:0000005","Marital status","equivalent","marital status value",,,,,,,,,,,,,,,,,,,,
"KoGES:0000006","Household income","equivalent","household income value",,,,,,,,,,,,,,,,,,,,
"KoGES:0000007","Occupation","equivalent","occupation",,,,,,,,,,,,,,,,,,,,
"KoGES:0000008","Medical history","equivalent","clinical history",,,,,,,,,,,,,,,,,,,,
"KoGES:0000009","Disease history of hypertension, diabetes, hyperlipidemia, stroke, angina/myocardial infraction, cancer, etc.","equivalent","diseases",,,,,,,,,,,,,,,,,,,,
"KoGES:0000010","Previous diagnosis (Disease history)","subclass","diseases",,,,,,,,,,,,,,,,,,,,
"KoGES:0000011","Age at first diagnosis (Disease history)","subclass","diseases",,,,,,,,,,,,,,,,,,,,
"KoGES:0000012","Treatment progress (current treatment)","subclass","medication",,,,,,,,,,,,,,,,,,,,
"KoGES:0000013","Treatment method (hypertension, diabetes, hyperlipidemia only)","subclass","medication",,,,,,,,,,,,,,,,,,,,
"KoGES:0000014","Surgery (operation) history","subclass","surgical interventions",,,,,,,,,,,,,,,,,,,,
"KoGES:0000015","Previous surgery (operation)","subclass","surgical interventions",,,,,,,,,,,,,,,,,,,,
"KoGES:0000016","Age at first surgery","subclass","surgical interventions",,,,,,,,,,,,,,,,,,,,
"KoGES:0000017","Family disease history","subclass","family clinical history",,,,,,,,,,,,,,,,,,,,
"KoGES:0000018","Previous diagnosis (Family disease history)","subclass","family clinical history",,,,,,,,,,,,,,,,,,,,
"KoGES:0000019","Relationship","subclass","family clinical history",,,,,,,,,,,,,,,,,,,,
"KoGES:0000020","Age at first diagnosis (Family disease history)","subclass","family clinical history",,,,,,,,,,,,,,,,,,,,
"KoGES:0000021","Number of siblings and children","subclass","family and household structure",,,,,,,,,,,,,,,,,,,,
"KoGES:0000022","Lifestyle","equivalent","lifestyle and behaviours",,,,,,,,,,,,,,,,,,,,
"KoGES:0000023","Smoking habits","equivalent","tobacco",,,,,,,,,,,,,,,,,,,,
"KoGES:0000024","Amount of ciagrettes","subclass","tobacco",,,,,,,,,,,,,,,,,,,,
"KoGES:0000025","Total period of smoking","subclass","tobacco",,,,,,,,,,,,,,,,,,,,
"KoGES:0000026","Age at first smoking","subclass","tobacco",,,,,,,,,,,,,,,,,,,,
"KoGES:0000027","Secondhand smoking","equivalent","exposure to second hand smoke",,,,,,,,,,,,,,,,,,,,
