ID	Label	Mapping Type	GECKO Mapping	Parent	Comment
ID	LABEL	CLASS_TYPE	C % SPLIT=|		A comment
MAELSTROM:Administrative_information	Administrative information	equivalent	survey administration		
MAELSTROM:Identifiers	Identifiers	equivalent	unique identifiers	MAELSTROM:Administrative_information	
MAELSTROM:Date_time_related_info	Date and time-related information	equivalent	date and time-related information	MAELSTROM:Administrative_information	
MAELSTROM:Questionnaire_interview_related_info	Questionnaire and interview-related information	subclass	survey administration	MAELSTROM:Administrative_information	
MAELSTROM:Physical_measure_biosamp_related_info	Physical and cognitive measure and biosample-related information	subclass	survey administration	MAELSTROM:Administrative_information	
MAELSTROM:Data_sample_center	Data and sample collection center-related information	subclass	survey administration	MAELSTROM:Administrative_information	
MAELSTROM:Other_admin_info	Other administrative information	subclass	survey administration	MAELSTROM:Administrative_information	
MAELSTROM:Cognitive_psychological_measures	Cognition, personality and psychological measures and assessments		Maelstrom		No mapping in CINECA
MAELSTROM:Cognitive_functioning	Cognitive functioning			MAELSTROM:Cognitive_psychological_measures	
MAELSTROM:Personality	Personality			MAELSTROM:Cognitive_psychological_measures	
MAELSTROM:Psychological_emotional_distress	Psychological distress and emotions			MAELSTROM:Cognitive_psychological_measures	
MAELSTROM:Other_psycholog_measures	Other psychological measures and assessments			MAELSTROM:Cognitive_psychological_measures	
MAELSTROM:Diseases	Diseases	equivalent	diseases		
MAELSTROM:Infectious_dis	Certain infectious and parasitic diseases (A00-B99)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Neoplasms	Neoplasms (C00-D48)	equivalent	oncological	MAELSTROM:Diseases	maybe not equiv because this could include non-cancerous
MAELSTROM:Blood_immune_dis	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)	equivalent	blood-related disorders	MAELSTROM:Diseases	maybe not equiv because this includes immune disorders
MAELSTROM:Endocrine_metabolic_dis	Endocrine, nutritional and metabolic diseases (E00-E90)	equivalent	endocrine/nutritional/metabolic disorders	MAELSTROM:Diseases	
MAELSTROM:Mental_behav_dis	Mental and behavioural disorders (F00-F99)	equivalent	mental and behaviour disorders	MAELSTROM:Diseases	
MAELSTROM:Nervous_sys_dis	Diseases of the nervous system (G00-G99)	equivalent	nervous system	MAELSTROM:Diseases	
MAELSTROM:Eye_adnexa_dis	Diseases of the eye and adnexa (H00-H59)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Ear_mastoid_dis	Diseases of the ear and mastoid process (H60-H95)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Circulatory_sys_dis	Diseases of the circulatory system (I00-I99)	equivalent	circulatory system	MAELSTROM:Diseases	
MAELSTROM:Respiratory_sys_dis	Diseases of the respiratory system (J00-J99)	equivalent	respiratory system	MAELSTROM:Diseases	
MAELSTROM:Digestive_sys_dis	Diseases of the digestive system (K00-K93)	equivalent	digestive system	MAELSTROM:Diseases	
MAELSTROM:Skin_subcutaneous_dis	Diseases of the skin and subcutaneous tissue (L00-L99)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Musculoskeletal_sys_dis	Diseases of the musculoskeletal system and connective tissue (M00-M99)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Genitourinary_sys_dis	Diseases of the genitourinary system (N00-N99)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Pregnancy_childbirth	Pregnancy, childbirth and the puerperium (O00-O9A)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Perinatal_cond	Certain conditions originating in the perinatal period (P00-P96)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Cong_malform_chrom_abnor	Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Injury_poisoning	Injury, poisoning and certain other consequences of external causes (S00-T98)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Morbidity_mortality_ext	External causes of morbidity and mortality (V01-Y98)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Other_dis	Diseases without precise specification or falling into multiple categories	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:End_of_life	Death		Maelstrom		No mapping in CINECA
MAELSTROM:Life_status	Vital status			MAELSTROM:End_of_life	
MAELSTROM:Cause_death	Cause of death			MAELSTROM:End_of_life	
MAELSTROM:Other_death	Other end of life or death-related information			MAELSTROM:End_of_life	
MAELSTROM:Health_community_care_utilization	Health and community care services utilization		Maelstrom		No mapping in CINECA. This is distinct from 'physician/practitioner info', though that may be a subclass of this
MAELSTROM:Visit_health_prof	Visits to health professionals			MAELSTROM:Health_community_care_utilization	
MAELSTROM:Hospitalizations	Hospitalizations			MAELSTROM:Health_community_care_utilization	
MAELSTROM:Community_care	Community and social care			MAELSTROM:Health_community_care_utilization	
MAELSTROM:Other_health_and_community_care	Other health and community care			MAELSTROM:Health_community_care_utilization	
MAELSTROM:Health_status_functional_limitations	Perception of health, quality of life, development and functional limitations		Maelstrom		No mapping in CINECA
MAELSTROM:Perc_health	Perception of health			MAELSTROM:Health_status_functional_limitations	
MAELSTROM:Qual_life	Quality of life			MAELSTROM:Health_status_functional_limitations	
MAELSTROM:Life_dev	Life course development (under development)			MAELSTROM:Health_status_functional_limitations	
