ID	Field Label	Class Type	GECKO Label	Comment	New Label																							
ID		CLASS_TYPE	C % SPLIT=|		LABEL																							
SAPRIN:0000000					SAPRIN
SAPRIN:Base_Entities	Base Entities		SAPRIN	
SAPRIN:Location	Location			
SAPRIN:Type_Location	Type (Location)			
SAPRIN:Area	Area			
SAPRIN:Coordinate	Coordinate			
SAPRIN:Household	Household		residence	
SAPRIN:Identifier_Household	Identifier (Household)		residence	
SAPRIN:Individual	Individual		family and household structure	
SAPRIN:Identifier_Individual	Identifier (Individual)			
SAPRIN:External_identifier_Individual	External identifier (Individual)			
SAPRIN:Surname	Surname			
SAPRIN:Alternative_surname	Alternative surname			
SAPRIN:First_name_1	First name 1			
SAPRIN:First_name_2	First name 2			
SAPRIN:Civilian_ID_number	Civilian ID number			
SAPRIN:Citizenship	Citizenship		residence	
SAPRIN:Nationality	Nationality		ethnicity/race	
SAPRIN:Sex	Sex		biological sex	
SAPRIN:Birth_Individual	Birth (Individual)			
SAPRIN:EndEvent_Individual	EndEvent (Individual)			
SAPRIN:MotherId	MotherId			
SAPRIN:FatherId	FatherId			
SAPRIN:MotherSurname	MotherSurname			
SAPRIN:MotherFirstName	MotherFirstName			
SAPRIN:FatherSurname	FatherSurname			
SAPRIN:FatherFirstName	FatherFirstName			
SAPRIN:Events	Events		SAPRIN	
SAPRIN:Migration	Migration		residence	Maybe?
SAPRIN:Date_Migration	Date (Migration)		residence	Maybe?
SAPRIN:Type_Migration	Type (Migration)		residence	Maybe?
SAPRIN:Direction	Direction		residence	Maybe?
SAPRIN:Origin	Origin		residence	Maybe?
SAPRIN:Destination	Destination		residence	Maybe?
SAPRIN:Unit	Unit			
SAPRIN:Birth	Birth			
SAPRIN:Date_Birth	Date (Birth)		age/birthdate	
SAPRIN:Birth_weight	Birth weight			
SAPRIN:BirthCertificate	BirthCertificate			
SAPRIN:DateRegistered	DateRegistered			
SAPRIN:PregnancyOutcome	PregnancyOutcome		pregnancy history	
SAPRIN:Date_PregnancyOutcome	Date (PregnancyOutcome)		pregnancy history	
SAPRIN:Type_PregnancyOutcome	Type (PregnancyOutcome)		pregnancy history	
SAPRIN:Place_PregnancyOutcome	Place (PregnancyOutcome)		pregnancy history	
SAPRIN:BirthAttendant	BirthAttendant		pregnancy history	
SAPRIN:LiveBirths	LiveBirths		pregnancy history	
SAPRIN:Stillborn	Stillborn		pregnancy history	
SAPRIN:Death	Death			
SAPRIN:Date_Death	Date (Death)			
SAPRIN:Place_Death	Place (Death)			
SAPRIN:DeathCertificate	DeathCertificate			
SAPRIN:Verbal_autopsy	Verbal autopsy			
SAPRIN:Enumeration	Enumeration			
SAPRIN:Date_Enumeration	Date (Enumeration)			
SAPRIN:Membership_Events	Membership Events			
SAPRIN:Date_Membership_Events	Date (Membership Events)			
SAPRIN:Type_Membership_Events	Type (Membership Events)			
SAPRIN:Household_Headship	Household Headship		family and household structure	
SAPRIN:Date_Household_Headship	Date (Household Headship)			
SAPRIN:Type_Household_Headship	Type (Household Headship)			
SAPRIN:UnionEvent	UnionEvent			
SAPRIN:Date_UnionEvent	Date (UnionEvent)			
SAPRIN:Type_UnionEvent	Type (UnionEvent)			
SAPRIN:Observation	Observation			
SAPRIN:Date_Observation	Date (Observation)			
