ID	Field Label	Class Type	GECKO Label	Comment																					
ID		CLASS_TYPE	C % SPLIT=|																						
VZ:BPMeasuredEver	BP Measured Ever		blood pressure	not quite right- this is asking if you've ever had itmeasured																					
VZ:HighBPInformedEver	Ever Been Informed of High BP		occurrence of high blood pressure																						
VZ:HighBPInformed12mo	Informed of High BP in 12 Months		occurrence of high blood pressure																						
VZ:HighBPConsult6mo	High BP Consultation 6 months		occurrence of high blood pressure																						
VZ:HighBPTx2wks	High BP Treatment in the Last 2 Weeks		history of medication for hypertension	should we differentiate between medication for hypertension & med for high BP?																					
VZ:BPReferralExist	Referral due to Existing High Blood Pressure		occurrence of high blood pressure																						
VZ:BPReferralExistReason	Reasons for Referral due to Existing High Blood Pressure		occurrence of high blood pressure																						
VZ:BPReferralNonExist	Referral due to Non Existing High Blood Pressure		occurrence of high blood pressure	or not?																					
VZ:BPReferralNonExistReason	Reasons for Referral due to Non Existing High Blood Pressure		occurrence of high blood pressure	or not?																					
VZ:HighBPConsultHealer	High BP Consultation With Traditional Healer		occurrence of high blood pressure																						
VZ:HighBPHerbalCurr	Currently Taking Herbal Treatment for Raised BP		history of non-pharmacological treatment for high blood pressure																						
VZ:BSugarMeasuredEver	Blood Sugar Measured Ever		blood glucose level value	this is not quite right - this is asking if you've ever had it measured																					
VZ:HighBSugarInformedEver	High Blood Sugar Informed Ever		occurrence of hyperglycemia																						
VZ:HighBSugarInformed12mo	High Blood Sugar Informed Past 12 Months		occurrence of hyperglycemia																						
VZ:HighBSugarConsult6mo	High Blood Sugar Consultation Past 6 months		occurrence of hyperglycemia																						
VZ:HighBSugarTx2wks	High Blood Sugar Treatment Past 2 Weeks		history of medication for hyperglycemia																						
VZ:InsulinTxCurr	Currently Taking Insulin for Diabetes		history of medication for diabetes																						
VZ:HighBSugarConsultHealer	High Blood Sugar Consultation With Traditional Healer		occurrence of hyperglycemia																						
VZ:CholestMeasuredEver	Cholesterol Measured Ever		blood total cholesterol level value	not quite right- this is asking if you've ever had itmeasured																					
VZ:HighCholestInformedEver	High Cholesterol Informed Ever		occurrence of high cholesterol																						
VZ:HighCholestInformed12mo	High Cholesterol Informed Past 12 Months		occurrence of high cholesterol																						
VZ:HighCholestTx2wks	High Cholesterol Treatment Past 2 Weeks		history of medication for high cholesterol																						
VZ:HighCholestConsultHealer	High Cholesterol Consultation With Traditional Healer		occurrence of high cholesterol																						
VZ:HighCholestHerbalCurr	Currently Taking Herbal Treatment for Raised Cholesterol		history of non-pharmacological treatment for high cholesterol																						
VZ:HeartAttackEver	Heart Attack Ever		occurrence of heart attack																						
VZ:HeartAttackAspirinTxCurr	Currently Taking Aspirin Treatment		use of asprin																						
VZ:HeartAttackStatinsTxCurr	Currently Taking statins (Lovastatin/Simvastatin/Atorvastatin) to prevent Heart Disease		use of statins																						
VZ:ParentHistHeartAttack	Parental History of Heart Attack		family clinical history																						
VZ:HadStrokeEver	History of Stroke		occurrence of stroke																						
VZ:StrokeAspirinTxCurr	Currently Taking statins (Lovastatin/Simvastatin/Atorvastatin) to prevent Stroke		use of statins																						
VZ:ParentHistStroke	Parental History of Stroke		family clinical history																						
VZ:CancerTxEver	Cancer Treatment Before		Vukuzazi	is this non-pharmacological (potential surgery) or medication for cancer?																					
VZ:CurrSmoker	Currently Smoking Tobacco		tobacco																						
VZ:CurrSmokerDaily	Smoke Tobacco Products Daily		tobacco																						
VZ:StopSmoking12mo	Quit Stopping Tobacco		tobacco																						
VZ:EverSmoked	Ever Smoked Tobacco Products		tobacco																						
VZ:EverSmokedDaily	Ever Smoked Tobacco Products Daily		tobacco																						
VZ:EverConsumedAlcohol	Ever Consumed Alcohol		alcohol																						
VZ:ConsumedAlcohol12mo	Consumed Alcohol Last 12 Months		alcohol																						
VZ:StoppedAlcoholHealth	Stopped Alcohol for Health Reasons		alcohol																						
VZ:ConsumedAlcohol30d	Consumed Alcohol Last 30 days		alcohol																						
VZ:TBTxCurrent	TB Current Treatment		history of medication for tuberculosis																						
VZ:ReceivedTBInjections	TB Current Treatment		history of medication for tuberculosis																						
VZ:TBTxEver	Ever had TB Treatment		history of medication for tuberculosis																						
VZ:HomesteadMemberTBEver	Homestead Member TB Ever		diagnosis of tuberculosis	homestead? is this potentially family clinical history instead?																					
VZ:HomesteadMemberTBCurr	Homestead (or residential plot) currently on TB treatment		diagnosis of tuberculosis	homestead? is this potentially family clinical history instead?																					
VZ:CoughCurr	currently have a cough?		occurrence of cough																						
VZ:FeverCurr	Have a fever currently		occurrence of fever																						
VZ:NightSweatsCurr	Night Sweats		occurrence of night sweats																						
VZ:WeightLoss6mo	Weight Loss in 6 months		occurrence of weight loss																						
VZ:OtherSymptoms	Other TB Symptoms		signs and symptoms	may be too broad but I don't know if it makes sense to make a 'TB symptoms' term																					
VZ:Fatigue	Fatigue		occurrence of fatigue																						
VZ:Haemoptysis	Haemoptysis		occurrence of hemoptysis																						
VZ:Chestpain	Chestpain		occurrence of chest pain																						
VZ:Lymphadenitis	Lymphadenitis		occurrence of lymphadenitis																						
