IRI	Type	Label
ID	TYPE	LABEL
IAO:0000115	owl:AnnotationProperty	definition
IAO:0000118	owl:AnnotationProperty	alternative term
IHCC:answer-type	owl:AnnotationProperty	answer type
IHCC:formula	owl:AnnotationProperty	formula
IHCC:measurement-time	owl:AnnotationProperty	measurement time
IHCC:number-of-cohorts	owl:AnnotationProperty	number of cohorts
IHCC:question-description	owl:AnnotationProperty	question description
IHCC:use-cases-requirements	owl:AnnotationProperty	use cases requirements
IHCC:value	owl:AnnotationProperty	value
rdfs:comment	owl:AnnotationProperty	comment
rdfs:seeAlso	owl:AnnotationProperty	see also
oboInOwl:hasDbXref	owl:AnnotationProperty	database_cross_reference
