Term ID	Label	Parent Term	Definition	GECKO Category	Internal ID	Suggested Categories	Comment
CANPATH:0000001	Regional cohort ID		Identification number of the regional cohort.	unique identifiers	ADM_STUDY_ID		
CANPATH:0000002	Forward Sortation Area (FSA)		Forward sortation area of the participant's residence at questionnaire completion.	residence	ADM_FSA		
CANPATH:0000003	Regional cohort dataset name		Name of the regional cohort dataset.	location	ADM_STUDY_DATASET		
CANPATH:0000004	Questionnaire version		Version of the questionnaire administered to the participant.	survey administration	ADM_QX_VERSION		
CANPATH:0000005	Questionnaire administration language		Language of the questionnaire administered to the participant.	survey administration	ADM_QX_LANGUAGE		
CANPATH:0000006	Questionnaire administration format		Format of the questionnaire administered to the participant.	survey administration	ADM_QX_FORMAT		
CANPATH:0000007	Date of questionnaire completion		Date on which the questionnaire is completed (yyyy-MM-dd).	date and time-related information	ADM_QX_COMPLETION		
CANPATH:0000008	Gender		Gender of the participant.	gender	SDC_GENDER		
CANPATH:0000009	Age		Participant's age at questionnaire completion, calculated from birth date and date of questionnaire completion.	age/birthdate	SDC_AGE_CALC		
CANPATH:0000010	Number of biological brothers		Number of biological (one or two common parents) brothers of the participant.	family and household structure	SDC_BROTHERS_NB		
CANPATH:0000011	Number of biological sisters		Number of biological (one or two common parents) sisters of the participant.	family and household structure	SDC_SISTERS_NB		
CANPATH:0000012	Number of biological siblings		Number of biological (one or two common parents) siblings of the participant.	family and household structure	SDC_SIB_NB		
CANPATH:0000013	Number of biological siblings - categorical		Number of biological (one or two common parents) siblings of the participant.	family and household structure	SDC_SIB_NB_CAT		
CANPATH:0000014	Number of siblings older than participant		Number of biological (one or two common parents) siblings older than the participant.	family and household structure	SDC_SIB_OLDER_NB		
CANPATH:0000015	Number of siblings older than participant - categorical		Number of biological (one or two common parents) siblings older than the participant.	family and household structure	SDC_SIB_OLDER_NB_CAT		
CANPATH:0000016	Child of a multiple birth		Indicator of whether the participant was a child of a multiple birth	family and household structure	SDC_MULTIPLE_BIRTH		
CANPATH:0000017	Adopted		Indicator of whether the participant was adopted.		SDC_ADOPTED_CHILD		Is this socio-demographic? Is it something we want to add to GECKO?
CANPATH:0000018	Marital status		Participant's current marital status.	marital status	SDC_MARITAL_STATUS		
CANPATH:0000019	Highest level of education completed		Highest level of education completed by the participant.	education	SDC_EDU_LEVEL		
CANPATH:0000020	Age highest level education completed		Age at which the participant completed the highest level of education.	education|life stage/time point	SDC_EDU_LEVEL_AGE		
CANPATH:0000021	Household income before taxes		Average annual income, before taxes, of the participant's entire household including salaries, pensions, and allowances.	income and possessions	SDC_INCOME		
CANPATH:0000022	Number of individuals supported by income		"Number of individuals supported by the average annual income of the participant's entire household, including children, parents and other persons living outside the participant's home.  



Minimum value of 1 considering the participant is supported by his household income."	income and possessions	SDC_INCOME_IND_NB		
CANPATH:0000023	Number of individuals supported by income - categorical		"Number of individuals supported by the average annual income of the participant's entire household, including children, parents and other persons living outside the participant's home.  



Minimum value of 1 considering the participant is supported by his household income."	income and possessions	SDC_INCOME_IND_NB_CAT		
CANPATH:0000024	Number of adults in the household		Number of adults (age 18 or older) currently living in the same household including the participant.	family and household structure	SDC_HOUSEHOLD_ADULTS_NB		
CANPATH:0000025	Number of adults in the household - categorical		Number of adults (age 18 or older) currently living in the same household including the participant.	family and household structure	SDC_HOUSEHOLD_ADULTS_NB_CAT		
CANPATH:0000026	Number of children in the household		Number of children (under 18 years of age) currently living in the participant's household.	family and household structure	SDC_HOUSEHOLD_CHILDREN_NB		
CANPATH:0000027	Number of children in the household - categorical		Number of children (under 18 years of age) currently living in the participant's household.	family and household structure	SDC_HOUSEHOLD_CHILDREN_NB_CAT		
CANPATH:0000028	Perception of health		Participant's general perception of his/her health.	perception of health	HS_GEN_HEALTH		
CANPATH:0000029	Ever had routine medical check-up		Indicator of whether the participant has ever had a routine medical check-up undertaken by a doctor or a nurse.	routine clincial visits	HS_ROUTINE_VISIT_EVER		
CANPATH:0000030	Last routine medical check-up		Last time the participant had a routine medical check-up undertaken by a doctor or a nurse, if the participant has ever had a routine medical check-up.	routine clincial visits	HS_ROUTINE_VISIT_LAST		
CANPATH:0000031	Ever had dental professional visit		Indicator of whether the participant has ever had a dental professional visit.	oral health history	HS_DENTAL_VISIT_EVER		
CANPATH:0000032	Last visit with dental professional		Last time the participant saw a dental professional, including a dentist or hygienist, if the participant has ever had dental professional visit.	oral health history	HS_DENTAL_VISIT_LAST		
CANPATH:0000033	Ever had fecal occult blood test		Indicator of whether the participant has ever had a fecal occult blood test (FOBT).	diagnostic interventions	HS_FOBT_EVER		
CANPATH:0000034	Last fecal occult blood test		Last time the participant had a fecal occult blood test (FOBT), if the participant has ever had a fecal occult blood test (FOBT).	diagnostic interventions	HS_FOBT_LAST		
CANPATH:0000035	Ever had colonoscopy		Indicator of whether the participant has ever had a colonoscopy.	diagnostic interventions	HS_COL_EVER		
CANPATH:0000036	Last colonoscopy		Last time the participant had a colonoscopy, if the participant has ever had a colonoscopy.	diagnostic interventions	HS_COL_LAST		
CANPATH:0000037	Ever had sigmoidoscopy		Indicator of whether the participant has ever had a sigmoidoscopy.	diagnostic interventions	HS_SIG_EVER		
CANPATH:0000038	Last sigmoidoscopy		Last time the participant had a sigmoidoscopy, if the participant has ever had a sigmoidoscopy.	diagnostic interventions	HS_SIG_LAST		
CANPATH:0000039	Ever had sigmoidoscopy or colonoscopy		Indicator of whether the participant has ever had a sigmoidoscopy or a colonoscopy.	diagnostic interventions	HS_SIG_COL_EVER		
CANPATH:0000040	Last sigmoidoscopy or colonoscopy		Indicator of whether the participant has ever had a sigmoidoscopy or a colonoscopy, if the participant has ever had a sigmoidoscopy or colonoscopy.	diagnostic interventions	HS_SIG_COL_LAST		
CANPATH:0000041	Ever had polyp removed from colon		Indicator of whether the participant has ever had a polyp removed from colon.	surgical interventions	HS_POLYP_EVER		
CANPATH:0000042	Ever had PSA blood test		Indicator of whether the male participant has ever had a PSA blood test for prostate cancer screening.	diagnostic interventions	HS_PSA_EVER		
CANPATH:0000043	Last PSA blood test		Last time the male participant had a PSA blood test for prostate cancer screening, if the male participant has ever had a PSA blood test.	diagnostic interventions	HS_PSA_LAST		
CANPATH:0000044	Number of children fathered		Number of children (live birth only) a male participant has fathered.	reproduction	MH_CHILDREN_FATHERED		
CANPATH:0000045	Number of children fathered - categorical		Number of children (live birth only) a male participant has fathered.	reproduction	MH_CHILDREN_FATHERED_CAT		
CANPATH:0000046	Age at menarche		Age of the female participant at menarche.	reproduction|life stage/time point	WH_MENSTRUATION_AGE		
CANPATH:0000047	Ever used hormonal contraceptives		Indicator of whether the female participant has ever used hormonal contraceptives.	reproduction	WH_CONTRACEPTIVES_EVER		
CANPATH:0000048	Age started using hormonal contraceptives		Age of the female participant when she started using hormonal contraceptives.	reproduction|life stage/time point	WH_CONTRACEPTIVES_AGE		
CANPATH:0000049	Duration of use of hormonal contraceptives		Total duration (in months) of hormonal contraceptives use during the lifetime of the female participant.	reproduction	WH_CONTRACEPTIVES_DURATION		
CANPATH:0000050	Gravidity		Total number of times a female participant has been pregnant.	reproduction	WH_GRAVIDITY		
CANPATH:0000051	Gravidity - categorical		Total number of times a female participant has been pregnant.	reproduction	WH_GRAVIDITY_CAT		
CANPATH:0000052	Age at first pregnancy		Age of female participant when she first became pregnant.	reproduction|life stage/time point	WH_PREG_FIRST_AGE		
CANPATH:0000053	Currently pregnant		Indicator of whether the female participant is currently pregnant.	reproduction	WH_PREG_CUR		
CANPATH:0000054	Number of weeks current pregnancy		Total number of weeks of the female participant's current pregnancy.	reproduction	WH_PREG_CUR_WK		
CANPATH:0000055	Number of pregnancies of at least 20 weeks		Total number of the female participant's pregnancies that lasted at least 20 weeks.	reproduction	WH_PREG_20WK		
CANPATH:0000056	Number of live births mothered		Total number of live births the female participant has had.	reproduction	WH_LIVE_BIRTHS		
CANPATH:0000057	Number of live births mothered - categorical		Total number of live births the female participant has had.	reproduction	WH_LIVE_BIRTHS_CAT		
CANPATH:0000058	Age at last pregnancy		Age of the female participant when she last became pregnant.	reproduction|life stage/time point	WH_PREG_LAST_AGE		
CANPATH:0000059	Duration of breastfeeding		Total duration (in months) of breastfeeding during the lifetime of the female participant, including all different children breastfed.	reproduction	WH_BREASTFEEDING_DURATION		
CANPATH:0000060	Ever received hormone fertility treatment		Indicator of whether the female participant has ever received hormone fertility treatment during her life.	reproduction	WH_HFT_EVER		
CANPATH:0000061	Occurrence of menopause		Occurrence of menopause at any point during the life of the female participant.	reproduction	WH_MENOPAUSE_EVER		
CANPATH:0000062	Menopause reason		Reason for menopause onset (natural or induced).	reproduction	WH_MENOPAUSE_REASON		
CANPATH:0000063	Age at menopause		Age of the female participant at menopause.	reproduction|life stage/time point	WH_MENOPAUSE_AGE		
CANPATH:0000064	Ever used hormone replacement therapy		Indicator of whether the female participant has ever used hormone replacement therapy.	medication	WH_HRT_EVER		
CANPATH:0000065	Age started using hormone replacement therapy		Age of the female participant when she started using hormone replacement therapy.	life stage/time point|medication	WH_HRT_AGE		
CANPATH:0000066	Duration of use of hormone replacement therapy		Total duration (in months) of hormone replacement therapy use during the lifetime of the female participant.	medication	WH_HRT_DURATION		
CANPATH:0000067	Occurrence of hysterectomy		Occurrence of hysterectomy at any point during the life of the female participant.	surgical interventions	WH_HYSTERECTOMY_EVER		
CANPATH:0000068	Hysterectomy onset		Age of the female participant at hysterectomy.	surgical interventions	WH_HYSTERECTOMY_AGE		
CANPATH:0000069	Occurrence of oophorectomy		Occurrence of oophorectomy at any point during the life of the female participant.	surgical interventions	WH_OOPHORECTOMY_EVER		
CANPATH:0000070	Number of ovaries removed		Number of ovaries removed during the life of the female participant.	surgical interventions	WH_OVARIES_REMOVED_NB		
CANPATH:0000071	Bilateral oophorectomy		Indicator of whether the ovaries were removed at the same time.	surgical interventions	WH_BI_OOPHORECTOMY		
CANPATH:0000072	Age at last oophorectomy		Age of the female participant at last oophorectomy.	surgical interventions|life stage/time point	WH_OVARIES_LAST_AGE		
CANPATH:0000073	Ever had mammography		Indicator of whether the female participant has ever had a mammography.	diagnostic interventions	HS_MMG_EVER		
CANPATH:0000074	Last mammography		Last time the female participant had a mammography, if the female participant has ever had a mammography.	diagnostic interventions	HS_MMG_LAST		
CANPATH:0000075	Ever had Pap test		Indicator of whether the female participant has ever had a Pap test (Pap smear).	diagnostic interventions	HS_PAP_EVER		
CANPATH:0000076	Last Pap test		Last time the participant had a Pap test or a smear test, if the female participant has ever had a Pap test (Pap smear).	diagnostic interventions	HS_PAP_LAST		
CANPATH:0000077	Lifetime occurrence of high blood pressure, excluding during pregnancy		Occurrence of high blood pressure or hypertension at any point during the life of the participant, excluding during pregnancy.	cardiovascular diseases	DIS_HBP_EVER		
CANPATH:0000078	Age at first diagnosis of high blood pressure, excluding during pregnancy		Age of the participant at first diagnosis of high blood pressure or hypertension, excluding during pregnancy.	cardiovascular diseases|life stage/time point	DIS_HBP_AGE		
CANPATH:0000079	Currently under treatment for high blood pressure		Indicator of whether the participant is currently under treatment for high blood pressure or hypertension, excluding during pregnancy.	cardiovascular diseases	DIS_HBP_TX		
CANPATH:0000080	Lifetime occurrence of myocardial infarction		Occurrence of myocardial infarction at any point during the life of the participant.	cardiovascular diseases	DIS_MI_EVER		
CANPATH:0000081	Age at first diagnosis of myocardial infarction		Age of the participant at first diagnosis of myocardial infarction.	cardiovascular diseases|life stage/time point	DIS_MI_AGE		
CANPATH:0000082	Currently under treatment for myocardial infarction		Indicator of whether the participant is currently under treatment for myocardial infarction.	cardiovascular diseases	DIS_MI_TX		
CANPATH:0000083	Lifetime occurrence of stroke		Occurrence of stroke at any point during the life of the participant.	cardiovascular diseases	DIS_STROKE_EVER		
CANPATH:0000084	Age at first diagnosis of stroke		Age of the participant at first diagnosis of stroke.	cardiovascular diseases|life stage/time point	DIS_STROKE_AGE		
CANPATH:0000085	Currently under treatment for stroke		Indicator of whether the participant is currently under treatment for stroke.	cardiovascular diseases	DIS_STROKE_TX		
CANPATH:0000086	Lifetime occurrence of asthma		Occurrence of asthma at any point during the life of the participant.	respiratory system diseases	DIS_ASTHMA_EVER		
