Term ID	Label	Parent Term	Defintion	GECKO Category	Internal ID	Suggested Categories	Comment
CHOP:0000001	subjid		anonymized patient ID	unique identifiers	subjid		Random Integer
CHOP:0000002	surveyYear		year of sample collection	date and time-related information	surveyDate		Integer
CHOP:0000003	Gender			gender	Gender		Encoded Value
CHOP:0000004	ageYears		age at sample collection	age/birthdate	ageYears		Integer
CHOP:0000005	WeightKgs		weight at sample collection	weight	WeightKgs		decimal
CHOP:0000006	HeightCm		height at sample collection	height	HeightCm		decimal
CHOP:0000007	race			ethnicity/race	race		Encoded Value
CHOP:0000008	isAsian		yes or no	ethnicity/race	isAsian		Yes-No
CHOP:0000009	asianType			ethnicity/race	asianType		Encoded Value
CHOP:0000010	chiefComplaint_1		description of symptom or condition	signs and symptoms	chiefComplaint_1		Text
CHOP:0000011	chiefComplaint_2		description of symptom or condition	signs and symptoms	chiefComplaint_2		Text
CHOP:0000012	chiefComplaint_3		description of symptom or condition	signs and symptoms	chiefComplaint_3		Text
CHOP:0000013	chiefComplaint_4		description of symptom or condition	signs and symptoms	chiefComplaint_4		Text
CHOP:0000014	gestationalDiabetes		yes or no	endocrine system diseases	gestationalDiabetes		Yes-No
CHOP:0000015	preeClampsia		yes or no	cardiovascular diseases	preeClampsia		Yes-No
CHOP:0000016	glassesForDistance		yes or no	visual system diseases	glassesForDistance		Yes-No
CHOP:0000017	havePets		yes or no	lifestyle and behaviours	havePets		Yes-No
CHOP:0000018	goodHealth		yes or no	perception of health	goodHealth		Yes-No
CHOP:0000019	haveAllergy		yes or no	signs and symptoms	haveAllergy		Yes-No
CHOP:0000020	healthyDiet		yes or no	dietary history	healthyDiet		Yes-No
CHOP:0000021	isActive		yes or no	physical activity history	isActive		Yes-No
CHOP:0000022	isSmoker		is there a smoker in the family	tobacco use history	isSmoker		Yes-No
CHOP:0000023	sleepProblem		yes or no	sleep history	sleepProblem		Yes-No
CHOP:0000024	sleepProblemType_1		description of symptom or condition	sleep history	sleepProblemType_1		text
CHOP:0000025	sleepProblemType_2		description of symptom or condition	sleep history	sleepProblemType_2		Text
CHOP:0000026	sleepProblemType_3		description of symptom or condition	sleep history	sleepProblemType_3		Text
CHOP:0000027	takesMedication		yes or no	medication	takesMedication		Yes-No
CHOP:0000028	medicationType_1		medications at time of sample collection	medication	medicationType_1		Text
CHOP:0000029	medicationType_2		medications at time of sample collection	medication	medicationType_2		Text
CHOP:0000030	medicationType_3		medications at time of sample collection	medication	medicationType_3		Text
CHOP:0000031	medicationType_4		medications at time of sample collection	medication	medicationType_4		Text
CHOP:0000032	medicationType_5		medications at time of sample collection	medication	medicationType_5		Text
CHOP:0000033	medicationType_6		medications at time of sample collection	medication	medicationType_6		Text
CHOP:0000034	medicationType_7		medications at time of sample collection	medication	medicationType_7		Text
CHOP:0000035	medicationType_8		medications at time of sample collection	medication	medicationType_8		Text
CHOP:0000036	medicationType_9		medications at time of sample collection	medication	medicationType_9		Text
CHOP:0000037	medicationType_10		medications at time of sample collection	medication	medicationType_10		Text
CHOP:0000038	screenForAutism		yes or no	mental and behaviour disorders	screenForAutism		Yes-No
CHOP:0000039	hasAutism		yes or no	mental and behaviour disorders	hasAutism		Yes-No
CHOP:0000040	hasBehavioralProblems		yes or no	mental and behaviour disorders	hasBehavioralProblems		Yes-No
CHOP:0000041	behavioralProblemsType_1		description of symptom or condition	mental and behaviour disorders	behavioralProblemsType_1		Text
CHOP:0000042	behavioralProblemsType_2		description of symptom or condition	mental and behaviour disorders	behavioralProblemsType_2		Text
CHOP:0000043	sampleType		type of sample collected	sample type	sampleType		Encoded Value
CHOP:0000044	age_alzheimers_onset		EHR record	mental and behaviour disorders	diagnosis_age_alz		Integer
CHOP:0000045	icd9_dx_alzheimers		EHR record	mental and behaviour disorders	diagnosis_code_alz		Encoded Value
CHOP:0000046	icd9_age_alzheimers		EHR record	mental and behaviour disorders	diagnosis_age_alz		Integer
CHOP:0000047	icd10_dx_alzheimers		EHR record	mental and behaviour disorders	diagnosis_code_alz		Encoded Value
CHOP:0000048	icd10_age_alzheimers		EHR record	mental and behaviour disorders	diagnosis_age_alz		Integer
CHOP:0000049	proc_name_alzheimers		EHR record	mental and behaviour disorders	proc_name_alz		Encoded Value
CHOP:0000050	proc_code_alzheimers		EHR record	mental and behaviour disorders	proc_code_alz		Encoded Value
CHOP:0000051	proc_findings_alzheimers		EHR record	mental and behaviour disorders	proc_value_alz		Encoded Value
CHOP:0000052	proc_impression_alzheimers		EHR record	mental and behaviour disorders	proc_value_alz		Encoded Value
CHOP:0000053	proc_age_alzheimers		EHR record	mental and behaviour disorders	proc_age_alz		Integer
CHOP:0000054	lab_name_alzheimers		EHR record	mental and behaviour disorders	lab_name_alz		Encoded Value
CHOP:0000055	lab_code_alzheimers		EHR record	mental and behaviour disorders	lab_code_alz		Encoded Value
CHOP:0000056	lab_findings_alzheimers		EHR record	mental and behaviour disorders	lab_value_alz		Encoded Value
CHOP:0000057	lab_impression_alzheimers		EHR record	mental and behaviour disorders	lab_value_alz		Encoded Value
CHOP:0000058	lab_age_alzheimers		EHR record	mental and behaviour disorders	lab_age_alz		Integer
CHOP:0000059	age_dementia_onset		EHR record	mental and behaviour disorders	diagnosis_age_dem		Integer
CHOP:0000060	icd9_dx_dementia		EHR record	mental and behaviour disorders	diagnosis_code_dem		Encoded Value
CHOP:0000061	icd9_age_dementia		EHR record	mental and behaviour disorders	diagnosis_age_dem		Integer
CHOP:0000062	icd10_dx_dementia		EHR record	mental and behaviour disorders	diagnosis_code_dem		Encoded Value
CHOP:0000063	icd10_age_dementia		EHR record	mental and behaviour disorders	diagnosis_age_dem		Integer
CHOP:0000064	proc_name_dementia		EHR record	mental and behaviour disorders	proc_name_dem		Encoded Value
CHOP:0000065	proc_code_dementia		EHR record	mental and behaviour disorders	proc_code_dem		Encoded Value
CHOP:0000066	proc_findings_dementia		EHR record	mental and behaviour disorders	proc_value_dem		Encoded Value
CHOP:0000067	proc_impression_dementia		EHR record	mental and behaviour disorders	proc_value_dem		Encoded Value
CHOP:0000068	proc_age_dementia		EHR record	mental and behaviour disorders	proc_age_dem		Integer
CHOP:0000069	lab_name_dementia		EHR record	mental and behaviour disorders	lab_name_dem		Encoded Value
CHOP:0000070	lab_code_dementia		EHR record	mental and behaviour disorders	lab_code_dem		Encoded Value
CHOP:0000071	lab_findings_dementia		EHR record	mental and behaviour disorders	lab_value_dem		Encoded Value
CHOP:0000072	lab_impression_dementia		EHR record	mental and behaviour disorders	lab_value_dem		Encoded Value
CHOP:0000073	lab_age_dementia		EHR record	mental and behaviour disorders	lab_age_dem		Integer
CHOP:0000074	age_cardiovascular_onset		EHR record	cardiovascular diseases	diagnosis_age_cardiovas		Integer
CHOP:0000075	icd9_dx_cardiovascular		EHR record	cardiovascular diseases	diagnosis_code_cardiovas		Encoded Value
CHOP:0000076	icd9_age_cardiovascular		EHR record	cardiovascular diseases	diagnosis_age_cardiovas		Integer
CHOP:0000077	icd10_dx_cardiovascular		EHR record	cardiovascular diseases	diagnosis_code_cardiovas		Encoded Value
CHOP:0000078	icd10_age_cardiovascular		EHR record	cardiovascular diseases	diagnosis_age_cardiovas		Integer
CHOP:0000079	proc_name_cardiovascular		EHR record	cardiovascular diseases	proc_name_cardiovas		Encoded Value
CHOP:0000080	proc_code_cardiovascular		EHR record	cardiovascular diseases	proc_code_cardiovas		Encoded Value
CHOP:0000081	proc_findings_cardiovascular		EHR record	cardiovascular diseases	proc_value_cardiovas		Encoded Value
CHOP:0000082	proc_impression_cardiovascular		EHR record	cardiovascular diseases	proc_value_cardiovas		Encoded Value
CHOP:0000083	proc_age_cardiovascular		EHR record	cardiovascular diseases	proc_age_cardiovas		Integer
CHOP:0000084	lab_name_cardiovascular		EHR record	cardiovascular diseases	lab_name_cardiovas		Encoded Value
CHOP:0000085	lab_code_cardiovascular		EHR record	cardiovascular diseases	lab_code_cardiovas		Encoded Value
CHOP:0000086	lab_findings_cardiovascular		EHR record	cardiovascular diseases	lab_value_cardiovas		Encoded Value
CHOP:0000087	lab_impression_cardiovascular		EHR record	cardiovascular diseases	lab_value_cardiovas		Encoded Value
CHOP:0000088	lab_age_cardiovascular		EHR record	cardiovascular diseases	lab_age_cardiovas		Integer
CHOP:0000089	PNC_INT_NUM		Number of Interviews associated to the participant	survey administration	INT_NUM		Encoded Value
CHOP:0000090	PNC_INT_TYPE		Type of Interview	survey administration	INT_TYPE		Encoded Value
