Term ID	Label	Parent Term	Definition	GECKO Category	Internal ID	Suggested Categories	Comment
EB:0000001	Person.skood	Person	SKOOD, unique identifier for each individual	unique identifiers			
EB:0000002	Person.gender	Person	Gender 1[Male]; 2[Female]	family and household structure			
EB:0000003	Person.birthDate	Person	Birthdate	age/birthdate			
EB:0000004	Person.birthYear	Person	Year of birth	age/birthdate			
EB:0000005	Person.agreementDate	Person	Agreement date	date and time-related information			
EB:0000006	Person.ageToday	Person	Age at present	age/birthdate			
EB:0000007	Person.ageAtAgreement	Person	Age at the agreement date	date and time-related information			
EB:0000008	Person.ageGroupAtAgreement	Person	1[below 29]; 2[30-49]; 3[50-69]; 4[70+]	date and time-related information			
EB:0000009	Person.deathDate	Person	Date of death				
EB:0000010	Person.deathYear	Person	Year of death				
EB:0000011	PersonPortrait.lastBmi	PersonPortrait	Last BMI value	weight			Person's last measurements, smoking status and place of residence
EB:0000012	PersonPortrait.lastWeight	PersonPortrait	Last weight value	weight			Person's last measurements, smoking status and place of residence
EB:0000013	PersonPortrait.lastHeight	PersonPortrait	Last height value	height			Person's last measurements, smoking status and place of residence
EB:0000014	PersonPortrait.bmiDate	PersonPortrait	The date of last weight, height and BMI measurement	weight			Person's last measurements, smoking status and place of residence
EB:0000015	PersonPortrait.bmiSource	PersonPortrait	Last bmi value source e.g. via recruitment questionaire, via health system 1[Answerset]; 2[Population Register]; 3[E-Health]; 5[Estonian Health Insurance Fund]; 6[North Estonia Medical Centre]	weight			Person's last measurements, smoking status and place of residence
EB:0000016	PersonPortrait.lastSmokingStatus	PersonPortrait	Last smoking status 1[Never]; 2[Former]; 3[Current]; 4[Unknown]	tobacco use history			Person's last measurements, smoking status and place of residence
EB:0000017	PersonPortrait.smokingDate	PersonPortrait	Date of last smoking report	tobacco use history			Person's last measurements, smoking status and place of residence
EB:0000018	PersonPortrait.smokingSource	PersonPortrait	Last smoking status source, e.g. via recruitment questionaire, via health system 1[Answerset]; 2[Population Register]; 3[E-Health]; 5[Estonian Health Insurance Fund]; 6[North Estonia Medical Centre]	tobacco use history			Person's last measurements, smoking status and place of residence
EB:0000019	PersonPortrait.lastAlcoholStatus	PersonPortrait	Last status of alcohol consumption 1[Never]; 2[Former]; 3[Current]; 4[Unknown]	alcohol use history			Person's last measurements, smoking status and place of residence
EB:0000020	PersonPortrait.lastAlcoholStyle	PersonPortrait	Alcohol consumption habits 1[Never consumed alcohol]; 2[Former consumer of alcohol]; 30[Consumes alcohol: amount unknown]; 31[Low alcohol consumption (up to 1 unit per week for women / up to 2 units per week for men)]; 32[Moderate alcohol consumption (up to 1 unit per day for women / up to 2 units per day for men)]	alcohol use history			Person's last measurements, smoking status and place of residence
EB:0000021	PersonPortrait.alcoholUnitPerDay	PersonPortrait	Daily alcohol consumption during the last year (1 unit = 10 g of pure alcohol)	alcohol use history			Person's last measurements, smoking status and place of residence
EB:0000022	PersonPortrait.alcoholDate	PersonPortrait	Date of last report of alcohol consumption	alcohol use history			Person's last measurements, smoking status and place of residence
EB:0000023	PersonPortrait.nationality	PersonPortrait	Nationality What is your nationality? 1[Estonian]; 2[Russian]; 3[Ukrainian]; 4[Belarusian]; 5[Finnish]				Person's last measurements, smoking status and place of residence
EB:0000024	PersonPortrait.lastEducation	PersonPortrait	Last education The International Standard Classification of Education (ISCED) 0[Primary education (pre - school education) or without primary education]; 1[Primary education]; 2[Basic education]; 3[Vocational education on the basis of basic education]; 4[General secondary education or vocational secondary education (incl. Secondary vocational or technical education based on basic education)]	education			Person's last measurements, smoking status and place of residence
EB:0000025	PersonPortrait.educationDate	PersonPortrait	The date of the last education	education			Person's last measurements, smoking status and place of residence
EB:0000026	PersonPortrait.educationSource	PersonPortrait	Last education source 1[Answerset]; 2[Population Register]; 3[E-Health]; 5[Estonian Health Insurance Fund]; 6[North Estonia Medical Centre]	education			Person's last measurements, smoking status and place of residence
EB:0000027	PersonPortrait.residencyCountry	PersonPortrait	Country of residence EST[Estonia]; FIN[Finland]; XXX[Other country]	residence			Person's last measurements, smoking status and place of residence
EB:0000028	PersonPortrait.residencyRegion	PersonPortrait	County of residence	residence			Person's last measurements, smoking status and place of residence
EB:0000029	PersonPortrait.residencyCity	PersonPortrait	City of residence	residence			Person's last measurements, smoking status and place of residence
EB:0000030	PersonPortrait.settlementRegionType	PersonPortrait	Settlement region type L[City-type settlement unit]; V[Town-type settlement unit]; M[Rural-type settlement unit]	residence			Person's last measurements, smoking status and place of residence
EB:0000031	DiagnosisConsolidated.icd10	DiagnosisConsolidated		diseases			
EB:0000032	DiagnosisConsolidated.earliestDate	DiagnosisConsolidated		healthcare information			
EB:0000033	DiagnosisConsolidated.latestDate	DiagnosisConsolidated		healthcare information			
EB:0000034	Sample.vkood	Sample	Sample ID for genotyping - some individuals are genotyped several times, so one individual can have multiple VCODES	DNA/Genotyping			
EB:0000035	Sample.visitNumber	Sample		survey administration			
EB:0000036	InformedConsent.icType	InformedConsent		consent/accessibility			
EB:0000037	InformedConsent.icDate	InformedConsent		consent/accessibility			
EB:0000038	InformedConsent.validTo	InformedConsent		consent/accessibility			
EB:0000039	InformedConsent.feedbackType	InformedConsent	1[Yes, he/she wants to]; 2[No, he/she does not want to]	consent/accessibility			
EB:0000040	InformedConsent.acceptedTime	InformedConsent		consent/accessibility			
