Term ID	Label	Parent Term	Definition	GECKO Category	Internal ID	Suggested Categories	Comment
ELSABRASIL:0000001	idelsa		idelsa	unique identifiers	idelsa		
ELSABRASIL:0000002	sex		sex	biological sex	rcta8		
ELSABRASIL:0000003	site		site	location	centroa		
ELSABRASIL:0000004	age (wave 1)		age (wave 1)	age/birthdate	idadea		
ELSABRASIL:0000005	initial date		initial date	date and time-related information	rcpadataapini		
ELSABRASIL:0000006	waist circumference (cm)		waist circumference (cm)	anthropometry	anta1a		
ELSABRASIL:0000007	hip circumference (cm)		hip circumference (cm)	anthropometry	anta2		
ELSABRASIL:0000008	height - standing (cm)		height - standing (cm)	height	anta3		
ELSABRASIL:0000009	height - sitted (cm)		height - sitted (cm)	height	anta4		
ELSABRASIL:0000010	weight (kg)		weight (kg)	weight	anta5		
ELSABRASIL:0000011	ECG point E value (cm)		ECG point E value (cm)	circulation and respiration	ecga1		
ELSABRASIL:0000012	ECG V4 (cm)		ECG V4 (cm)	circulation and respiration	ecga2		
ELSABRASIL:0000013	ECG time (mm:ss)		ECG time (mm:ss)	circulation and respiration	ecga3		
ELSABRASIL:0000014	ECG - quality		ECG - quality	circulation and respiration	ecga4		
ELSABRASIL:0000015	right systolic BP tibia 1st meas		PA sistolica tibial dir1 (mmHg)	blood pressure	itba1a		
ELSABRASIL:0000016	right systolic BP tibia 2nd meas		PA sistolica tibial dir2 (mmHg)	blood pressure	itba1b		
ELSABRASIL:0000017	right systolic BP tibia 3rd meas		PA sistolica tibial dir3 (mmHg)	blood pressure	itba1c		
ELSABRASIL:0000018	left systolic BP tibia 1st meas		PA sistolica tibial esq1 (mmHg)	blood pressure	itba2a		
ELSABRASIL:0000019	left systolic BP tibia 2nd meas		PA sistolica tibial esq2 (mmHg)	blood pressure	itba2b		
ELSABRASIL:0000020	left systolic BP tibia 3rd meas		PA sistolica tibial esq3 (mmHg)	blood pressure	itba2c		
ELSABRASIL:0000021	systolic BP lying 1st meas		PA sistolica deitado1 (mmHg)	blood pressure	itba3a		
ELSABRASIL:0000022	systolic BP lying 2nd meas		PA sistolica deitado 2 (mmHg)	blood pressure	itba3b		
ELSABRASIL:0000023	systolic BP lying 3rd meas		PA sistolica deitado 3 (mmHg)	blood pressure	itba3c		
ELSABRASIL:0000024	diastolic BP lying 1st meas		PA diastolica deitado 1 (mmHg)	blood pressure	itba4a		
ELSABRASIL:0000025	diastolic BP lying 2nd meas		PA diastolica deitado 2 (mmHg)	blood pressure	itba4b		
ELSABRASIL:0000026	diastolic BP lying 3rd meas		PA diastolica deitado 3 (mmHg)	blood pressure	itba4c		
ELSABRASIL:0000027	HR lying 1st meas		Frequencia cardiaca deitado 1 (bpm)	heart rate (HR)	itba5a		
ELSABRASIL:0000028	HR lying 2nd meas		Frequencia cardiaca deitado 2 (bpm)	heart rate (HR)	itba5b		
ELSABRASIL:0000029	HR lying 3rd meas		Frequencia cardiaca deitado 3 (bpm)	heart rate (HR)	itba5c		
ELSABRASIL:0000030	ITB e MUP sem outra ativ entre elas		ITB e MUP sem outra ativ entre elas	study design	mupa1		
ELSABRASIL:0000031	systolic BP lying 1st meas		PA sistolica deitado1 (mmHg)	blood pressure	mupa1a		
ELSABRASIL:0000032	systolic BP lying 2nd meas		PA sistolica deitado 2 (mmHg)	blood pressure	mupa1b		
ELSABRASIL:0000033	systolic BP lying 3rd meas		PA sistolica deitado 3 (mmHg)	blood pressure	mupa1c		
ELSABRASIL:0000034	diastolic BP lying 1st meas		PA diastolica deitado 1 (mmHg)	blood pressure	mupa2a		
ELSABRASIL:0000035	diastolic BP lying 2nd meas		PA diastolica deitado 2 (mmHg)	blood pressure	mupa2b		
ELSABRASIL:0000036	diastolic BP lying 3rd meas		PA diastolica deitado 3 (mmHg)	blood pressure	mupa2c		
ELSABRASIL:0000037	HR lying 1st meas		Frequencia cardiaca deitado 1 (bpm)	heart rate (HR)	mupa3a		
ELSABRASIL:0000038	HR lying 2nd meas		Frequencia cardiaca deitado 2 (bpm)	heart rate (HR)	mupa3b		
ELSABRASIL:0000039	HR lying 3rd meas		Frequencia cardiaca deitado 3 (bpm)	heart rate (HR)	mupa3c		
ELSABRASIL:0000040	systolic BP standing 2 min		PA sistolica em pe 2 min (mmHg)	blood pressure	mupa4a		
ELSABRASIL:0000041	systolic BP standing 3 min		PA sistolica em pe 3 min (mmHg)	blood pressure	mupa4b		
ELSABRASIL:0000042	systolic BP standing 5 min		PA sistolica em pe 5 min (mmHg)	blood pressure	mupa4c		
ELSABRASIL:0000043	diastolic BP standing 2 min		PA diastolica em pe 2 min (mmHg)	blood pressure	mupa5a		
ELSABRASIL:0000044	diastolic BP standing 3 min		PA diastolica em pe 3 min (mmHg)	blood pressure	mupa5b		
ELSABRASIL:0000045	diastolic BP standing 5 min		PA diastolica em pe 5 min (mmHg)	blood pressure	mupa5c		
ELSABRASIL:0000046	HR standing 1 min		Frequencia cardiaca em pe 1 (bpm)	heart rate (HR)	mupa6a		
ELSABRASIL:0000047	HR standing 2 min		Frequencia cardiaca em pe 2 (bpm)	heart rate (HR)	mupa6b		
ELSABRASIL:0000048	HR standing 3 min		Frequencia cardiaca em pe 3 (bpm)	heart rate (HR)	mupa6c		
ELSABRASIL:0000049	right arm circumference (cm)		Circ braco dir (cm)	anthropometry	pasa01dir		
ELSABRASIL:0000050	left arm circumference (cm)		Circ braco esq (cm)	anthropometry	pasa01esq		
ELSABRASIL:0000051	right sleeve		Manguito direito	anthropometry	pasa01mdi		
ELSABRASIL:0000052	neck circumference (cm)		Circ pescoco (cm)	anthropometry	pasa02		
ELSABRASIL:0000053	systolic BP sitting 1st meas		PA sistolica sentado 1 (mmHg)	blood pressure	pasa03a		
ELSABRASIL:0000054	systolic BP sitting 2nd meas		PA sistolica sentado 2 (mmHg)	blood pressure	pasa03b		
ELSABRASIL:0000055	systolic BP sitting 3rd meas		PA sistolica sentado 3 (mmHg)	blood pressure	pasa03c		
ELSABRASIL:0000056	diastolic BP sitting 1st meas		PA diastolica sentado 1 (mmHg)	blood pressure	pasa04a		
ELSABRASIL:0000057	diastolic BP sitting 2nd meas		PA diastolica sentado 2 (mmHg)	blood pressure	pasa04b		
ELSABRASIL:0000058	diastolic BP sitting 3rd meas		PA diastolica sentado 3 (mmHg)	blood pressure	pasa04c		
ELSABRASIL:0000059	HR sitting 1st meas		Frequencia cardiaca sentado 1 (bpm)	heart rate (HR)	pasa05a		
ELSABRASIL:0000060	HR sitting 2nd meas		Frequencia cardiaca sentado 2 (bpm)	heart rate (HR)	pasa05b		
ELSABRASIL:0000061	HR sitting 3rd meas		Frequencia cardiaca sentado 3 (bpm)	heart rate (HR)	pasa05c		
ELSABRASIL:0000062	prolonged bleeding time/frequent bruising		Sangramento prolongado/hematomas freq	signs and symptoms	cssa1		
ELSABRASIL:0000063	coagulation problems		Problema de sangramento ou coagulacao	signs and symptoms	cssa2		
ELSABRASIL:0000064	use anticoagulant		Usa aspirina/outro para anti-coagulacao	medication	cssa3		
ELSABRASIL:0000065	fainted during blood draw/injection/severe pain		Desmaiou coleta sangue/injecao/dor forte	signs and symptoms	cssa4		
ELSABRASIL:0000066	type of overload		Tipo de sobrecarga	study design	cssa5		
ELSABRASIL:0000067	start time of overload ingestion		Inicio da ingestao da sobrecarga	study design	cssa6		
ELSABRASIL:0000068	end time of overload ingestion		Fim da ingestao da sobrecarga	study design	cssa7		
ELSABRASIL:0000069	incomplete overload administration		Administracao incompleta da sobrecarga	study design	cssa8		
ELSABRASIL:0000070	discomfort/nausea after overload ingestion		Mal estar/nausea ingestao da sobrecarga	study design	cssa9		
ELSABRASIL:0000071	vomited overload ingestion		Vomitou ingestao sobrecarga	study design	cssa10		
ELSABRASIL:0000072	other incident at overload ingestion		Outra intercorrencia na sobrecarga	study design	cssa11		
ELSABRASIL:0000073	description of overload ingestion incident		Qual outra intercorrencia na sobrecarga	study design	cssa11qou		
ELSABRASIL:0000074	cataracts		Catarata	visual system diseases	reta1		
ELSABRASIL:0000075	cataracts' surgery		Cirurgia de catarata	surgical interventions	reta1a		
ELSABRASIL:0000076	dry eye		Olho seco	visual system diseases	reta2		
ELSABRASIL:0000077	use eye drops		Usa colirio	medication	reta2a		
ELSABRASIL:0000078	laser intervention due to diabetic retinopathy		Laser por retinopatia diabetica	surgical interventions	reta3		
ELSABRASIL:0000079	glaucoma		Glaucoma	visual system diseases	reta4		
ELSABRASIL:0000080	medication for glaucoma		Medicacao p/glaucoma	associated disease(s)	reta4a		
ELSABRASIL:0000081	pilocarpine drops for glaucoma		Colirio de pilocarpina p/ glaucoma	associated disease(s)	reta4b		
ELSABRASIL:0000082	surgery for glaucoma		Cirurgia p/ glaucoma	surgical interventions	reta4c		
ELSABRASIL:0000083	retinal detachment		Descolamento ou deslocamento da retina	visual system diseases	reta5		
ELSABRASIL:0000084	age-related retinal degeneration		Degeneracao retina relacionada idade	visual system diseases	reta6		
ELSABRASIL:0000085	laser or injection for age-related retinal degeneration		Laser ou injecao	surgical interventions	reta6a		
ELSABRASIL:0000086	eye trauma reuquiring medical attention		Acidente c/ atendimeto medico	injuries	reta7		
ELSABRASIL:0000087	eye trauma with round (blunt) objects		Objeto arredondado	injuries	reta7a		
ELSABRASIL:0000088	eye trauma with cutting (sharp) objects		Objeto cortante	injuries	reta7b		
ELSABRASIL:0000089	eye trauma due to chemical burning		Queimadura quimica	injuries	reta7c		
ELSABRASIL:0000090	uncorrected vision quality		Visao sem correcao	visual system diseases	reta8		
ELSABRASIL:0000091	can drive during the night		Dirige a noite	signs and symptoms	reta9		
ELSABRASIL:0000092	cant drive during the night due to vision impairment		Devido a visao (se nao dirige a noite)	signs and symptoms	reta9a		
ELSABRASIL:0000093	able to drive during the night with vision difficulties		Dificuldade enxergar (se dirige a noite)	signs and symptoms	reta9b		
ELSABRASIL:0000094	lazy eye		Olho preguicoco/ambliopia	visual system diseases	reta10		
ELSABRASIL:0000095	has seen an ophthalmlogist in the last 2 years		Oftalmologista ultimos 2 anos	healthcare information	reta11		
ELSABRASIL:0000096	start time of urine sample collection		Hora inic col urina	date and time-related information	cura1		
ELSABRASIL:0000097	end time of urine sample collection		Hora fim col urina	date and time-related information	cura2		
ELSABRASIL:0000098	urine loss		Perda de urina	survey administration	cura3		
ELSABRASIL:0000099	urine sample in fridge		Frasco na geladeira	survey administration	cura4		
ELSABRASIL:0000100	talcum powder or cream		Talco ou creme	other biosample type	cura5		
ELSABRASIL:0000101	used laxative last 12 hs		Laxante ultimas 12h	medication	cura6		
ELSABRASIL:0000102	is in menstrual period		Sra esta menstruada	reproduction	cura7		
ELSABRASIL:0000103	inadequate urine sample		Urina inadequada	survey administration	cura8		
ELSABRASIL:0000104	carotid intima-media thickness (IMT)		Carotida - EMI	circulation and respiration	usga1		
ELSABRASIL:0000105	US - abdominal wall		Parade abdom - PAB	digestive system diseases	usga2		
ELSABRASIL:0000106	US - liver		Figado - EST	digestive system diseases	usga3		
ELSABRASIL:0000107	distance between suprasternal notch and femoral pulse (cm)		Distancia furcula-femoral (cm)	anthropometry	vopa1		
ELSABRASIL:0000108	systolic BP before measurement		PA Sistolica antes da medida (mmHg)	blood pressure	vopa2		
ELSABRASIL:0000109	diastolic BP before measurement		PA Diastolica antes da medida (mmHg)	blood pressure	vopa3		
ELSABRASIL:0000110	carotid-femoral pulse wave velocity		VOP carotida-femoral (m/s)	circulation and respiration	vopa4		
ELSABRASIL:0000111	life self-evaluation		Autoavaliacao na escala (Q1)	quality of life	esca01		
ELSABRASIL:0000112	life self-evaluation compared to neighborhood		Relativo vizinhanca (Q2)	quality of life	esca02		
ELSABRASIL:0000113	life self-evaluation compared to work peers		Relativo trabalho (Q3)	quality of life	esca03		
ELSABRASIL:0000114	interview end time		Hora final entrevista	date and time-related information	esca04		
ELSABRASIL:0000115	theft/robbery		Assalto/roubo (Q1)	perception of health and quality of life	evea01		
ELSABRASIL:0000116	robbed only once: when		Assalto 1x: quando (Q2)	perception of health and quality of life	evea02		
ELSABRASIL:0000117	robbed more than once: when last		Assalto +1x: quando ultima (Q3)	perception of health and quality of life	evea03		
ELSABRASIL:0000118	hospitalized in the last 12 months		Hospitalizacao ultimos 12 meses (Q4)	hospitalizations	evea04		
ELSABRASIL:0000119	reason for hospitalization (single)		Hospitalizado 1x: motivo(Q5)	hospitalizations	evea05a		
ELSABRASIL:0000120	when hospitalization occurred (single)		Hospitalizado 1x: quando (Q6)	hospitalizations	evea06		
ELSABRASIL:0000121	reason for hospitalization (multiple)		Hospitalizado +1x: motivos (Q7)	hospitalizations	evea07a		
ELSABRASIL:0000122	when last hospitaliation occurred (multiple)		Hospitalizado +1x: quando ultima (Q8)	hospitalizations	evea08		
ELSABRASIL:0000123	death of relative in the last 12 months		Faleceu parente ultimos 12 meses (Q9)	perception of health and quality of life	evea09		
ELSABRASIL:0000124	death of 1 relative: when		Faleceu 1 parente: quando (Q10)	perception of health and quality of life	evea10		
ELSABRASIL:0000125	death of +1 relatives: when the last one died		Faleceu +1 parente: quando ultimo (Q11)	perception of health and quality of life	evea11		
ELSABRASIL:0000126	financial hardship in the last 12 months		Dif financeira grave ultimos 12 m (Q12)	income and possessions	evea12		
ELSABRASIL:0000127	single financial hardship: when		Dificuldade financeira 1x: quando (Q13)	income and possessions	evea13		
ELSABRASIL:0000128	multiple financila hardships: when was the last one		Dif financeira +1x: quando ultima (Q14)	income and possessions	evea14		
ELSABRASIL:0000129	romantic breakup in the last 12 months		Rompimento amoroso ultimos 12m (Q15)	social environment	evea15		
ELSABRASIL:0000130	romantic breakup only once: when		Rompimento amor 1x: quando (Q16)	social environment	evea16		
ELSABRASIL:0000131	romantic breakup more than one time: when		Rompimento amor +1x: quando (Q17)	social environment	evea17		
ELSABRASIL:0000132	sudden death in family		Morte subita na familia (Q1)	family history of disease	hfda01		
ELSABRASIL:0000133	sudden death - father		Pai morreu subitamente (Q2)	family history of disease	hfda02a		
ELSABRASIL:0000134	sudden death - father´s age		Idade que o pai morreu subitamente (Q2)	family history of disease	hfda02b		
ELSABRASIL:0000135	sudden death - mother		Mae morreu subitamente (Q2)	family history of disease	hfda02d		
ELSABRASIL:0000136	sudden death - mother´s age		Idade que a mae morreu subitamente (Q2)	family history of disease	hfda02e		
ELSABRASIL:0000137	sudden death - brother/sister		Irma/o morreu subitamente (Q2)	family history of disease	hfda02g		
ELSABRASIL:0000138	sudden death - brother/sister´s age		Idade que irma/o morreu subitamente (Q2)	family history of disease	hfda02h		
ELSABRASIL:0000139	myocardial infarction family		Infarto miocardio na familia (Q3)	family history of disease	hfda03		
ELSABRASIL:0000140	myocardial infarction father		Pai teve infarto do miocardio (Q4)	family history of disease	hfda04a		
ELSABRASIL:0000141	myocardial infarction father´s age		Idade que pai teve infarto (Q4)	family history of disease	hfda04b		
ELSABRASIL:0000142	myocardial infarction - mother		Mae teve infarto do miocardio (Q4)	family history of disease	hfda04d		
ELSABRASIL:0000143	myocardial infarction - mother´s age		Idade que mae teve infarto (Q4) )	family history of disease	hfda04e		
ELSABRASIL:0000144	myocardial infarction - brother/sister		Irma/o teve infarto do miocardio (Q4)	family history of disease	hfda04g		
ELSABRASIL:0000145	myocardial infarction - brother/sister´s age		Idade que irma/o teve infarto (Q4)	family history of disease	hfda04h		
ELSABRASIL:0000146	stroke family		AVC na familia (Q5)	family history of disease	hfda05		
ELSABRASIL:0000147	stroke father		Pai teve AVC (Q6)	family history of disease	hfda06a		
ELSABRASIL:0000148	stroke father´s age		Idade que pai teve AVC (Q6)	family history of disease	hfda06b		
ELSABRASIL:0000149	stroke - mother		Mae teve AVC (Q6)	family history of disease	hfda06d		
ELSABRASIL:0000150	stroke - mother´s age		Idade que mae teve AVC (Q6)	family history of disease	hfda06e		
ELSABRASIL:0000151	stroke - brother/sister		Irma/o teve AVC (Q6)	family history of disease	hfda06g		
ELSABRASIL:0000152	stroke - brother/sister´s age		Idade que irma/o teve AVC (Q6)	family history of disease	hfda06h		
ELSABRASIL:0000153	SAH family		Hipertensao na familia (Q7)	family history of disease	hfda07		
ELSABRASIL:0000154	SAH father		Pai teve hipertensao (Q8)	family history of disease	hfda08a		
ELSABRASIL:0000155	SAH father´s age		Idade que pai teve diagnostico HT (Q8)	family history of disease	hfda08b		
ELSABRASIL:0000156	SAH - mother		Mae teve hipertensao (Q8)	family history of disease	hfda08d		
ELSABRASIL:0000157	SAH - mother´s age		Idade que mae teve diagnostico HT (Q8)	family history of disease	hfda08e		
ELSABRASIL:0000158	SAH - brother/sister		Irma/o teve hipertensao (Q8)	family history of disease	hfda08g		
ELSABRASIL:0000159	SAH - brother/sister´s age		Idade que irma/o teve diag HT (Q8)	family history of disease	hfda08h		
ELSABRASIL:0000160	other cardiac disease family		Outra doenca do coracao na familia (Q9)	family history of disease	hfda09		
ELSABRASIL:0000161	other cardiac disease father		Pai teve outra doenca do coracao (Q10)	family history of disease	hfda10a		
ELSABRASIL:0000162	other cardiac disease father´s age		Idade pai teve doenca do coracao (Q10)	family history of disease	hfda10b		
ELSABRASIL:0000163	other cardiac disease - mother		Mae teve outra doenca do coracao (Q10)	family history of disease	hfda10d		
ELSABRASIL:0000164	other cardiac disease - mother´s age		Idade mae teve doenca do coracao (Q10)	family history of disease	hfda10e		
ELSABRASIL:0000165	other cardiac disease - brother/sister		Irma/o teve outra doenca coracao (Q10)	family history of disease	hfda10g		
ELSABRASIL:0000166	other cardiac disease - brother/sister´s age		Idade irma/o teve doenca coracao (Q10)	family history of disease	hfda10h		
ELSABRASIL:0000167	diabetes mellitus family		Diabetes na familia (Q11)	family history of disease	hfda11		
ELSABRASIL:0000168	diabetes mellitus father		Pai teve diagnostico de diabetes (Q12)	family history of disease	hfda12a		
ELSABRASIL:0000169	diabetes mellitus father's age		Idade que pai teve diagnostico DM (Q12)	family history of disease	hfda12b		
ELSABRASIL:0000170	diabetes mellitus mother		Mae teve diagnostico de diabetes (Q12)	family history of disease	hfda12d		
ELSABRASIL:0000171	diabetes mellitus mother's age		Idade que mae teve diagnostico DM (Q12)	family history of disease	hfda12e		
ELSABRASIL:0000172	diabetes mellitus sibling		Irma/o teve diagnostico de diabetes (Q12)	family history of disease	hfda12g		
ELSABRASIL:0000173	diabetes mellitus sibling's age		Idade irma/o teve diagnostico DM (Q12)	family history of disease	hfda12h		
ELSABRASIL:0000174	asthma family		Asma na familia (Q13)	family history of disease	hfda13		
ELSABRASIL:0000175	asthma father		Pai teve diagnostico de asma (Q14)	family history of disease	hfda14a		
ELSABRASIL:0000176	asthma father's age		Idade pai teve diagnostico asma (Q14)	family history of disease	hfda14b		
ELSABRASIL:0000177	asthma mother		Mae teve diagnostico de asma (Q14)	family history of disease	hfda14d		
ELSABRASIL:0000178	asthma mother's age		Idade mae teve diagnostico asma (Q14)	family history of disease	hfda14e		
ELSABRASIL:0000179	asthma sibling		Irma/o teve diagnostico de asma (Q12)	family history of disease	hfda14g		
ELSABRASIL:0000180	asthma sibling's age		Idade irma/o teve diagnostico asma (Q14)	family history of disease	hfda14h		
ELSABRASIL:0000181	cardiac bypass/angioplasty/stent family		Safena/Angio/Stent na familia (Q15)	family history of disease	hfda15		
ELSABRASIL:0000182	cardiac bypass/angioplasty/stent father		Pai submetido Safena/Angio/Stent (Q16)	family history of disease	hfda16a		
ELSABRASIL:0000183	cardiac bypass/angioplasty/stent father's age		Idade pai Safena/Angio/Stent (Q16)	family history of disease	hfda16b		
ELSABRASIL:0000184	cardiac bypass/angioplasty/stent mother		Mae submetida Safena/Angio/Stent (Q16)	family history of disease	hfda16d		
ELSABRASIL:0000185	cardiac bypass/angioplasty/stent mother's age		Idade mae Safena/Angio/Stent (Q16)	family history of disease	hfda16e		
ELSABRASIL:0000186	cardiac bypass/angioplasty/stent sibling		Irmao submetido Safena/Angio/Stent (Q16)	family history of disease	hfda16g		
ELSABRASIL:0000187	cardiac bypass/angioplasty/stent sibling's age		Idade irma/o Safena/Angio/Stent (Q16)	family history of disease	hfda16h		
ELSABRASIL:0000188	cancer family		Cancer na familia (Q17)	family history of disease	hfda17		
ELSABRASIL:0000189	cancer father		Pai teve diagnostico de cancer (Q18)	family history of disease	hfda18a		
ELSABRASIL:0000190	cancer father's age		Idade pai teve diagnostico cancer (Q18)	family history of disease	hfda18b		
ELSABRASIL:0000191	cancer type father		Qual cancer pai (Q18)	family history of disease	hfda18d		
ELSABRASIL:0000192	cancer mother		Mae teve diagnostico de cancer (Q18)	family history of disease	hfda18f		
ELSABRASIL:0000193	cancer mother's age		Idade mae teve diagnostico cancer (Q18)	family history of disease	hfda18g		
ELSABRASIL:0000194	cancer type mother		Qual cancer mae (Q18)	family history of disease	hfda18i		
ELSABRASIL:0000195	cancer sibling 1		Irma/o 1 teve diagnostico de cancer (Q18)	family history of disease	hfda18k		
ELSABRASIL:0000196	cancer sibling 1 age		Idade irma/o 1 teve cancer (Q18)	family history of disease	hfda18l		
ELSABRASIL:0000197	cancer type sibling 1		Qual cancer irma/o 1	family history of disease	hfda18n		
ELSABRASIL:0000198	cancer sibling 2		Irma/o 2 teve diagnostico de cancer (Q18)	family history of disease	hfda18p		
ELSABRASIL:0000199	cancer sibling 2 age		Idade irma/o 2 teve cancer (Q18)	family history of disease	hfda18q		
ELSABRASIL:0000200	cancer type sibling 2		Qual cancer irma/o 2	family history of disease	hfda18s		
ELSABRASIL:0000201	cancer sibling 3		Irma/o 3 teve diagnostico de cancer (Q18)	family history of disease	hfda18u		
ELSABRASIL:0000202	cancer sibling 3 age		Idade irma/o 3 teve cancer (Q18)	family history of disease	hfda18v		
ELSABRASIL:0000203	cancer type sibling 3		Qual cancer irma/o 3	family history of disease	hfda18y		
ELSABRASIL:0000204	health status		Estado de saude (Q1)	perception of health	hmpa01		
ELSABRASIL:0000205	SAH		Hipertensao (Q2)	cardiovascular diseases	hmpa02		
ELSABRASIL:0000206	SAH age		Idade diagnostico hipertensao (Q3)	cardiovascular diseases	hmpa03a		
ELSABRASIL:0000207	diabetes mellitus		Diabetes (Q4)	endocrine system diseases	hmpa04		
ELSABRASIL:0000208	diabetes mellitus age		Idade diagnostico diabetes (Q5)	endocrine system diseases	hmpa05a		
ELSABRASIL:0000209	use of insulin		Usa insulina (Q6)	medication	hmpa06		
ELSABRASIL:0000210	insulin as first medication		Insulina foi primeiro medicamento (Q7)	medication	hmpa07		
ELSABRASIL:0000211	high cholesterol		Colesterol alto (Q8)	cardiovascular diseases	hmpa08		
ELSABRASIL:0000212	high cholesterol age		Idade primeira vez colesterol alto (Q9)	cardiovascular diseases	hmpa09a		
ELSABRASIL:0000213	myocardial infarction		Infarto do miocardio (Q10)	cardiovascular diseases	hmpa10		
