Term ID	Label	Parent Term	Definition	GECKO Category	Internal ID	Suggested Categories	Comment
GCS:0000001	Identity		Identity and contact information	survey administration	ID		
GCS:0000002	Demographic Info		Demographic characteristics: sex, age, ethnicity, marital status, education	demographic data	DEMO		
GCS:0000003	Family members		Characteristics of relatives in the household	family and household structure	FAM		
GCS:0000004	Residence		The residential area (urban/rural), structure of the house, and duration of residing in the house	residence	RESID		
GCS:0000005	Water and fuel source		Water source, heat and fuel system, and cooking method	socio-demographic and economic characteristics	SOURCE		
GCS:0000006	Job		The names of all jobs the participant has had and the duration of work	socio-demographic and economic characteristics	JOB		
GCS:0000007	Food preservation and cooking		Food preservation, frying, boiling, BBQ, steaming, …	socio-demographic and economic characteristics	FOOD		
GCS:0000008	Properties		Transferable and non-transferable belongings and wealth score (Multiple Correspondence Analysis)	socio-demographic and economic characteristics	PROP		
GCS:0000009	Medical History		Suffering from any disease at the baseline of cohort	diseases	MED		
GCS:0000010	Chief complaints		The complaints of participants from their physical or mental sufferings	signs and symptoms	CC		
GCS:0000011	Cancer History		History of cancer, site, and age diagnosed in the participant or any of his/her relatives	oncological	CANCER		
GCS:0000012	Smoking		Ever or current smoker, age of use, type, number per day and days per week	tobacco	SMOK		
GCS:0000013	Opium use		Ever or current user, age and route of use, type, time per day and days per week	drugs	OPIUM		
GCS:0000014	Alcohol use		Ever or current user, age of use, type, quantity per episode and episodes per month	alcohol	ALC		
GCS:0000015	Drug history (1)		The main created categories of drugs consumed by participants	medication	DRUGCAT		
GCS:0000016	Drug History (2)		The exact name, duration, dose, and frequency of drugs consumed	medication	DRUGDETAIL		
GCS:0000017	Oral health		Decayed, filled, and missing teeth along with the age of the participant in each of these occasions		ORAL		Signs and symptoms? Diseases? Lifestyle?
GCS:0000018	Tea		Tea temperature, type of tea, and type of habit for drinking the tea	socio-demographic and economic characteristics	TEA		
GCS:0000019	Physical activity		The duration and intensity of physical activities during working and leasure times of the day, and Metabolic Equivalent Task (MET)	physical activity	ACTIVITY		
GCS:0000020	Animal contact		The age of the participant in contact with animals, the duration and intensity of animal contact, and the type of animal	socio-demographic and economic characteristics	ANIMAL		
GCS:0000021	Anthropometric measurements		Physically measured height, weight, waist circumference, hip circumference and data of pictogram	anthropometry	ANTHRO		
GCS:0000022	Blood pressure measurements		Both systolic and diastolic blood pressure measured in sitting position twice from each arm	blood pressure	BP		
GCS:0000023	Food Frequency Questionnaire		Units of food categories consumed per day	nutrition	FFQ		
GCS:0000024	Lab markers		Biochemical markers	laboratory measures	LAB		
GCS:0000025	PID	Identity	The Unique Id for eatch participant	unique identifiers	PID		
GCS:0000026	FirstName	Identity	The first name of participant.	survey administration	FirstName		
GCS:0000027	LastName	Identity	The last name of participant.	survey administration	LastName		
