Term ID	Label	Parent Term	Definition	GECKO Category	Internal ID	Suggested Categories	Comment
GE:0000001	Administrative			survey administration	administrative		not sure this maps to anything
GE:0000002	episode_matched	Administrative		survey administration	episode_matched		
GE:0000003	EPISODE MATCH RANK	Administrative	a score is attributed to each part of the linking process, where the quality of the match is denoted by the rank, with the lowest rank (i.e. 1) being the highest quality match. The scores for each possible match are compared and the highest match is chosen.	survey administration	episode_match_rank		
GE:0000004	modified_date	Administrative	Indicates the date and time at which the record was last modified	survey administration	modified_date		
GE:0000005	Hesid Rank	Administrative		survey administration	hesid_rank		number of days of high-dependency care during augmented care (is this life support?)
GE:0000006	patient_death	Administrative	Indicates whether the patient has died since completing Q1 (taken from mortality data)	survey administration	patient_death		
GE:0000007	Procedure Revision Flag	Administrative	Indicates whether or not an eligible PROMs procedure has been identified as a revision, as opposed to a primary, procedure. For those procedures (currently varicose vein and groin hernia) where the primary/revision distinction does not apply, this field will be set to 0.	survey administration	proc_revision_flag		
GE:0000008	Proms Procedure Code	Administrative	Code identifying the type of procedure the patient underwent	survey administration	proms_proc_code		
GE:0000009	proms_proc_group	Administrative	Code identifying the type of procedure the patient underwent	survey administration	proms_proc_group		
GE:0000010	proms_serial_no	Administrative	Unique Record Identifier	survey administration	proms_serial_no		
GE:0000011	Gender	Administrative	Gender of participant	gender	gender		
GE:0000012	Gender Code	Gender	Code as shown in submission. Field undergoes hard validation during data submission process. Must contain one of the nationally defined codes otherwise data will not be uploaded. Valid codes are: 0,1,2,9	gender	did_gender_code		
GE:0000013	Gender Description	Gender	Descriptive field, based on submitted Gender Code and converted to one of the following groupings: 0: Not known 1: Male 2: Female 9: Not specified	gender	ic_gender_desc		
GE:0000014	HESID Matched	Administrative		survey administration	hesid_matched		
GE:0000015	Admissions; Period of Care			survey administration	admissions_period_of_care		 ?
GE:0000016	Admission source	Admissions; Period of Care	This field contains a code which identifies where the patient was immediately prior to admission. Most patients are admitted from home, but there are some significant exceptions. In particular, this field differentiates between patients admitted from home and patients transferred from another hospital provider or institution.	survey administration	admisorc		where patient was prior to admission (hotel, home, court, psychiatrict, etc.)
GE:0000017	Method of admission	Admissions; Period of Care	This field contains a code which identifies how the patient was admitted to hospital. Admimeth is recorded on the first and also all subsequent episodes within the spell (ie where the spell is made up of more than one episode).	survey administration	admimeth		waiting list or not waiting list
GE:0000018	First regular day or night admission	Admissions; Period of Care	This field indicates whether the episode falls within a sequence of regular day and night admissions and, if so, whether it is the first or subsequent episode within the sequence.	survey administration	firstreg		
GE:0000019	Calculation of Elecdur	Admissions; Period of Care	"This field returns the elecdurd but excludes non-elective and planned admissions -
 so only includes where the method of admission is 11 or 12. This is only calculated on the first episode in a hospital provider spell, and regular admissions are also excluded."	date and time-related information	elecdur_calc		above for waiting list or booked admissions 
GE:0000020	Duration of elective wait (submitted)	Admissions; Period of Care	This submitted field contains the difference in days between the date on which it was decided to admit the patient (elecdate) and the actual admission date (admidate). Elecdur is only applicable where an elective admission (ie the admission method is 11, 12 or 13) was scheduled and took place.	date and time-related information	elecdur		date decided to admit -> actual admission date for elective admission - date and time-related or timeline?
GE:0000021	Date of admission	Admissions; Period of Care	This field contains the date the patient was admitted to hospital at the start of a hospital spell. Admidate is recorded on all episodes within a spell.	date and time-related information	admidate		
GE:0000022	Date of decision to admit	Admissions; Period of Care	This field contains the date on which a consultant, or another member of the clinical staff, decided to admit the patient to a hospital. The patient may or may not be admitted immediately. The time between elecdate and admidate (admission date) is known as the waiting time.	date and time-related information	elecdate		date and time-related or timeline?
GE:0000023	Financial Year	Admissions; Period of Care|Appointments|Administrative	Financial Year|Financial Year of activity	date and time-related information	fyear		admission from ER
GE:0000024	Age Bands			age/birthdate	age_bands		broader than 'age/birthdate' - this is a grouping category
GE:0000025	Age Band 10 years	Age Bands	Based on submitted Person Birthdate, converted to age bands: 0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80-89, 90 and over, Age not known Person Birthdate is hard validated. This means it must be in the correct format CCYY-MM-DD and must be: <= Diagnostic Test Date <= Today <= Service Report Issue Date Person Birthdate can be left blank If values are incorrect data will not upload	age/birthdate	ic_age10		
GE:0000026	Age Band 5 years	Age Bands	Rules for deriving referrer type are: GP (where referrer code is G followed by a number) Consultant (where referrer code is C followed by a number, includes C9999998 - consultant general medical council reference number not known EXCLUDES CD999998) Nurse (where referrer code starts with a 2 digit number) Physio (where referrer code starts with PH followed by a number)Not known (null or X9999998)	age/birthdate	ic_age5		
