Term ID	Label	Parent Term	Definition	GECKO Category	Suggested Categories	Comment
GE:administrative	Administrative			survey administration		not sure this maps to anything	
GE:episode_matched	episode_matched	Administrative		survey administration			
GE:episode_match_rank	EPISODE MATCH RANK	Administrative	a score is attributed to each part of the linking process, where the quality of the match is denoted by the rank, with the lowest rank (i.e. 1) being the highest quality match. The scores for each possible match are compared and the highest match is chosen.	survey administration			
GE:modified_date	modified_date	Administrative	Indicates the date and time at which the record was last modified	survey administration			
GE:hesid_rank	Hesid Rank	Administrative		survey administration		number of days of high-dependency care during augmented care (is this life support?)	
GE:patient_death	patient_death	Administrative	Indicates whether the patient has died since completing Q1 (taken from mortality data)	survey administration			
GE:proc_revision_flag	Procedure Revision Flag	Administrative	Indicates whether or not an eligible PROMs procedure has been identified as a revision, as opposed to a primary, procedure. For those procedures (currently varicose vein and groin hernia) where the primary/revision distinction does not apply, this field will be set to 0.	survey administration			
GE:proms_proc_code	Proms Procedure Code	Administrative	Code identifying the type of procedure the patient underwent	survey administration			
GE:proms_proc_group	proms_proc_group	Administrative	Code identifying the type of procedure the patient underwent	survey administration			
GE:proms_serial_no	proms_serial_no	Administrative	Unique Record Identifier	survey administration			
GE:gender	Gender	Administrative	Gender of participant	gender			
GE:did_gender_code	Gender Code	Gender	Code as shown in submission. Field undergoes hard validation during data submission process. Must contain one of the nationally defined codes otherwise data will not be uploaded. Valid codes are: 0,1,2,9	gender			
GE:ic_gender_desc	Gender Description	Gender	Descriptive field, based on submitted Gender Code and converted to one of the following groupings: 0: Not known 1: Male 2: Female 9: Not specified	gender			
GE:hesid_matched	HESID Matched	Administrative		survey administration			
GE:admissions_period_of_care	Admissions; Period of Care			survey administration		 ?	
GE:admisorc	Admission source	Admissions; Period of Care	This field contains a code which identifies where the patient was immediately prior to admission. Most patients are admitted from home, but there are some significant exceptions. In particular, this field differentiates between patients admitted from home and patients transferred from another hospital provider or institution.	survey administration		where patient was prior to admission (hotel, home, court, psychiatrict, etc.)	
GE:admimeth	Method of admission	Admissions; Period of Care	This field contains a code which identifies how the patient was admitted to hospital. Admimeth is recorded on the first and also all subsequent episodes within the spell (ie where the spell is made up of more than one episode).	survey administration		waiting list or not waiting list	
GE:firstreg	First regular day or night admission	Admissions; Period of Care	This field indicates whether the episode falls within a sequence of regular day and night admissions and, if so, whether it is the first or subsequent episode within the sequence.	survey administration			
GE:elecdur_calc	Calculation of Elecdur	Admissions; Period of Care	"This field returns the elecdurd but excludes non-elective and planned admissions -
 so only includes where the method of admission is 11 or 12. This is only calculated on the first episode in a hospital provider spell, and regular admissions are also excluded."	date and time-related information		above for waiting list or booked admissions 	
