Term ID	Label	Parent Term	Definition	GECKO Category	Internal ID	Suggested Categories	Comment
GS:0000001	alcoholic units from beer collected at R1, per wk	Alcohol_v1	alcoholic units from beer collected at R1, per wk	alcohol use history	R1alcoholbeerunits		
GS:0000002	alcoholic units from beer at age 18-24 collected at R1, per wk	Alcohol_v1	alcoholic units from beer at age 18-24 collected at R1, per wk	alcohol use history	R1alcoholbeerunits18		
GS:0000003	alcoholic units from beer at age25-49 collected at R1, per wk	Alcohol_v1	alcoholic units from beer at age 25-49 collected at R1, per wk	alcohol use history	R1alcoholbeerunits25		
GS:0000004	alcoholic units from beer at age 50+ collected at R1, per wk	Alcohol_v1	alcoholic units from beer at age 50+ collected at R1, per wk	alcohol use history	R1alcoholbeerunits50		
GS:0000005	current regular alcohol consumption at R1	Alcohol_v1	current regular alcohol consumption at R1	alcohol use history	R1alcoholcurrent		
GS:0000006	number of days having drunk alcohol in the last 7 days at R1	Alcohol_v1	number of days having drunk alcohol in the last 7 days at R1	alcohol use history	R1alcoholdays		
GS:0000007	ever regular alcohol consumption at R1	Alcohol_v1	ever regular alcohol consumption at R1	alcohol use history	R1alcoholever		
GS:0000008	glasses of alcohol collected at R1, per wk	Alcohol_v1	glasses of alcohol collected at R1, per wk	alcohol use history	R1alcoholglasses		
GS:0000009	glasses of alcohol at age 18-24 collected at R1, per wk	Alcohol_v1	glasses of alcohol at age 18-24 collected at R1, per wk	alcohol use history	R1alcoholglasses18		
GS:0000010	glasses of alcohol at age 25-49 collected at R1, per wk	Alcohol_v1	glasses of alcohol at age 25-49 collected at R1, per wk	alcohol use history	R1alcoholglasses25		
GS:0000011	glasses of alcohol at age 50+ collected at R1, per wk	Alcohol_v1	glasses of alcohol at age 50+ collected at R1, per wk	alcohol use history	R1alcoholglasses50		
GS:0000012	alcoholic units from other alcohol collected at R1, per wk	Alcohol_v1	alcoholic units from other alcohol collected at R1, per wk	alcohol use history	R1alcoholotherunits		
GS:0000013	alcoholic units from other alcohol at age 18-24 collected at R1, per wk	Alcohol_v1	alcoholic units from other alcohol at age 18-24 collected at R1, per wk	alcohol use history	R1alcoholotherunits18		
GS:0000014	alcoholic units from other alcohol at age 25-49 collected at R1, per wk	Alcohol_v1	alcoholic units from other alcohol at age 25-49 collected at R1, per wk	alcohol use history	R1alcoholotherunits25		
GS:0000015	alcoholic units from other alcohol at age 50+ collected at R1, per wk	Alcohol_v1	alcoholic units from other alcohol at age 50+ collected at R1, per wk	alcohol use history	R1alcoholotherunits50		
GS:0000016	alcoholic units from red wine collected at R1, per wk	Alcohol_v1	alcoholic units from red wine collected at R1, per wk	alcohol use history	R1alcoholredunits		
GS:0000017	alcoholic units from red wine at age 18-24 collected at R1, per wk	Alcohol_v1	alcoholic units from red wine at age 18-24 collected at R1, per wk	alcohol use history	R1alcoholredunits18		
GS:0000018	alcoholic units from red wine at age 25-49 collected at R1, per wk	Alcohol_v1	alcoholic units from red wine at age 25-49 collected at R1, per wk	alcohol use history	R1alcoholredunits25		
GS:0000019	alcoholic units from red wine at age 50+ collected at R1, per wk	Alcohol_v1	alcoholic units from red wine at age 50+ collected at R1, per wk	alcohol use history	R1alcoholredunits50		
