Term ID	Label	Parent Term	Definition	GECKO Category	Internal ID	Suggested Categories	Comment
HUNT:0000001	HUNT70+ study part (NT4Eld)						Added as grouping cat
HUNT:0000002	QTyp	HUNT70+ study part (NT4Eld)	Questionnaire type	survey administration	23130		field statation, institution, home visit
HUNT:0000003	MocaTrail	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Alternating Trail Making	MoCA	19602		
HUNT:0000004	MocaCube	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Cube	MoCA	19603		
HUNT:0000005	MocaCdtConto	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Clock Contour	MoCA	19604		
HUNT:0000006	MocaCdtN	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Clock Numbers	MoCA	19605		
HUNT:0000007	MocaCdtVise	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Clock Hands	MoCA	19606		
HUNT:0000008	MocaExecSubS	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Executive SubScore	MoCA	19607		
HUNT:0000009	MocaLion	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Lion	MoCA	19608		
HUNT:0000010	MocaRhino	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Rhinoceros	MoCA	19609		
HUNT:0000011	MocaCamel	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Camel	MoCA	19610		
HUNT:0000012	MocaNamSubS	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Naming SubScore	MoCA	19611		
HUNT:0000013	MocaFwDigSpa	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Forward Digit Span	MoCA	19612		
HUNT:0000014	MocaBwDigSpa	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Backwords Digit Span	MoCA	19613		
HUNT:0000015	MocaDigSpaSubS	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Digit Span SubScore	MoCA	19614		
HUNT:0000016	MocaLetTap	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Letter Tap	MoCA	19615		
HUNT:0000017	MocaLetTapSubS	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Letter Tap SubScore	MoCA	19616		
HUNT:0000018	Moca7Subtr93	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment 7 Subtraction 93	MoCA	19617		
HUNT:0000019	Moca7Subtr86	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment 7 Subtraction 86	MoCA	19618		
HUNT:0000020	Moca7Subtr79	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment 7 Subtraction 79	MoCA	19619		
HUNT:0000021	Moca7Subtr72	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment 7 Subtraction 72	MoCA	19620		
HUNT:0000022	Moca7Subtr65	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment 7 Subtraction 65	MoCA	19621		
HUNT:0000023	Moca7SubtrSumS	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment 7 Subtraction SubScore	MoCA	19622		
HUNT:0000024	MocaSent1	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Sentence 1	MoCA	19623		
HUNT:0000025	MocaSent2	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Sentence 2	MoCA	19624		
HUNT:0000026	MocaSentSubS	HUNT70+ study part (NT4Eld)	Montreal cognitive Assessment Sentence SubScore	MoCA	19625		
HUNT:0000027	MocaLetFluenN	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Letter Fluency	MoCA	19626		
HUNT:0000028	MocaLetFluenSubS	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Letter Fluency SubScore	MoCA	19627		
HUNT:0000029	MocaAbstTran	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Abstraction Transport	MoCA	19628		
HUNT:0000030	MocaAbstMea	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Abstraction Measure	MoCA	19629		
HUNT:0000031	MocaAbstSubS	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment SubScore	MoCA	19630		
HUNT:0000032	MocaMemFace	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Memory Face	MoCA	19631		
HUNT:0000033	MocaMemVelvet	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Memory Velvet	MoCA	19632		
HUNT:0000034	MocaMemChu	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Memory Church	MoCA	19633		
HUNT:0000035	MocaMemDaisy	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Memory Daisy	MoCA	19634		
HUNT:0000036	MocaMemRed	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Memory Colour Red	MoCA	19635		
HUNT:0000037	MocaMemSubS	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Memory SubScore	MoCA	19636		
HUNT:0000038	MocaDat	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Date	MoCA	19637		
HUNT:0000039	MocaMo	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Month	MoCA	19638		
HUNT:0000040	MocaY	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Year	MoCA	19639		
HUNT:0000041	MocaD	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Day	MoCA	19640		
HUNT:0000042	MocaPlac	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Place	MoCA	19641		
HUNT:0000043	MocaCity	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment City	MoCA	19642		
HUNT:0000044	MocaOrienSubS	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Orientation SubScore	MoCA	19643		
HUNT:0000045	MocaTotS	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Total Score	MoCA	23129		
HUNT:0000046	MocaTotSComple	HUNT70+ study part (NT4Eld)	Montreal Cognitive Assessment Total Score	MoCA	23128		Sum without cases with missing sub-scores
HUNT:0000047	CeradMemBut1	HUNT70+ study part (NT4Eld)	CERAD Memory Butter 1	CERAD Battery	19645		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000048	CeradMemArm1	HUNT70+ study part (NT4Eld)	CERAD Memory Arm 1	CERAD Battery	19646		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000049	CeradMemShore1	HUNT70+ study part (NT4Eld)	CERAD Memory Shore 1	CERAD Battery	19647		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000050	CeradMemLet1	HUNT70+ study part (NT4Eld)	CERAD Memory Letter 1	CERAD Battery	19648		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000051	CeradMemQueen1	HUNT70+ study part (NT4Eld)	CERAD Memory Queen 1	CERAD Battery	19649		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000052	CeradMemCabin1	HUNT70+ study part (NT4Eld)	CERAD Memory Cabin1	CERAD Battery	19650		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000053	CeradMemCane1	HUNT70+ study part (NT4Eld)	CERAD Memory Pole 1	CERAD Battery	19651		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000054	CeradMemTick1	HUNT70+ study part (NT4Eld)	CERAD Memory Ticket 1	CERAD Battery	19652		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000055	CeradMemGras1	HUNT70+ study part (NT4Eld)	CERAD Memory Grass 1	CERAD Battery	19653		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000056	CeradMemEng1	HUNT70+ study part (NT4Eld)	CERAD Memory Engine 1	CERAD Battery	19654		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000057	CeradMemNon1	HUNT70+ study part (NT4Eld)	CERAD Memory None 1	CERAD Battery	19655		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000058	CeradMemTick2	HUNT70+ study part (NT4Eld)	CERAD Memory Ticket 2	CERAD Battery	19656		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000059	CeradMemCabin2	HUNT70+ study part (NT4Eld)	CERAD Memory Cabin 2	CERAD Battery	19657		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000060	CeradMemBut2	HUNT70+ study part (NT4Eld)	CERAD Memory Butter 2	CERAD Battery	19658		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000061	CeradMemShore2	HUNT70+ study part (NT4Eld)	CERAD Memory Shore 2	CERAD Battery	19659		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000062	CeradMemEng2	HUNT70+ study part (NT4Eld)	CERAD Memory Engine 2	CERAD Battery	19660		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000063	CeradMemArm2	HUNT70+ study part (NT4Eld)	CERAD Memory Arm 2	CERAD Battery	19661		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000064	CeradMemQueen2	HUNT70+ study part (NT4Eld)	CERAD Memory Queen 2	CERAD Battery	19662		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000065	CeradMemLet2	HUNT70+ study part (NT4Eld)	CERAD Memory Letter 2	CERAD Battery	19663		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000066	CeradMemCane2	HUNT70+ study part (NT4Eld)	CERAD Memory Pole 2	CERAD Battery	19664		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000067	CeradMemGras2	HUNT70+ study part (NT4Eld)	CERAD Memory Grass 2	CERAD Battery	19665		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000068	CeradMemNon2	HUNT70+ study part (NT4Eld)	CERAD Memory None 2	CERAD Battery	19666		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000069	CeradMemQueen3	HUNT70+ study part (NT4Eld)	CERAD Memory Queen 3	CERAD Battery	19667		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000070	CeradMemGras3	HUNT70+ study part (NT4Eld)	CERAD Memory Grass 3	CERAD Battery	19668		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000071	CeradMemArm3	HUNT70+ study part (NT4Eld)	CERAD Memory Arm 3	CERAD Battery	19669		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000072	CeradMemCabin3	HUNT70+ study part (NT4Eld)	CERAD Memory Cabin 3	CERAD Battery	19670		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000073	CeradMemCane3	HUNT70+ study part (NT4Eld)	CERAD Memory Pole 3	CERAD Battery	19671		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000074	CeradMemShore3	HUNT70+ study part (NT4Eld)	CERAD Memory Shore 3	CERAD Battery	19672		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000075	CeradMemBut3	HUNT70+ study part (NT4Eld)	CERAD Memory Butter 3	CERAD Battery	19673		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000076	CeradMemEng3	HUNT70+ study part (NT4Eld)	CERAD Memory Engine 3	CERAD Battery	19674		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000077	CeradMemTick3	HUNT70+ study part (NT4Eld)	CERAD Memory Ticket 3	CERAD Battery	19675		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000078	CeradMemLet3	HUNT70+ study part (NT4Eld)	CERAD Memory Letter 3	CERAD Battery	19676		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000079	CeradMemNon3	HUNT70+ study part (NT4Eld)	CERAD Memory None 3	CERAD Battery	19677		The Consortium to Establish a Registry for Alzheimer’s Disease Word List task (CERAD-WL). only for those with MoCA score ≥22
HUNT:0000080	CogMisSi	CogNotDo|CogCanc	Sight	survey administration	19678		Cause of incomplete/missing MoCA:
HUNT:0000081	CogMisHear	CogNotDo|CogCanc	Hear	survey administration	19679		Cause of incomplete/missing MoCA:
HUNT:0000082	CogMisLang	CogNotDo|CogCanc	Language	survey administration	19680		Cause of incomplete/missing MoCA:
HUNT:0000083	CogMisHandFunc	CogNotDo|CogCanc	Hand Function	survey administration	19681		Cause of incomplete/missing MoCA:
HUNT:0000084	CogMisOth	CogNotDo|CogCanc	Other	survey administration	19682		Cause of incomplete/missing MoCA:
HUNT:0000085	CogNotDo	HUNT70+ study part (NT4Eld)	Cognitive test not done due to	survey administration	19683		
HUNT:0000086	CogCanc	HUNT70+ study part (NT4Eld)	Cognitive test cancelled due to	survey administration	19684		
HUNT:0000087	DeclMemL5Y	HUNT70+ study part (NT4Eld)	Has your memory become significantly worse in the last five years?	signs and symptoms	19685		Screeing questions of subjective cognitive decline
HUNT:0000088	DeclOtCogFuncL5Y	HUNT70+ study part (NT4Eld)	Have other cognitive functions (like orientation ability or language) become worse in the last five years?	signs and symptoms	19686		Screeing questions of subjective cognitive decline
HUNT:0000089	CogFuncWoPeer	HUNT70+ study part (NT4Eld)	Are these features worse than your peers?	perception of health	19687		Screeing questions of subjective cognitive decline
HUNT:0000090	CogChaWorr	DeclMemL5Y|DeclOtCogFuncL5Y|CogFuncWoPeer	Do these changes worries you?	perception of health	19688		Answered if YES on at least one of DeclMemL5Y/DeclOtCogFuncL5Y/CogFuncWoPeer
HUNT:0000091	CogChaMoN	DeclMemL5Y|DeclOtCogFuncL5Y	How long since your experienced the changes?	signs and symptoms	19689		months. Answered if YES on at least one of DeclMemL5Y/DeclOtCogFuncL5Y/CogFuncWoPeer
HUNT:0000092	CogDeb	DeclMemL5Y|DeclOtCogFuncL5Y	How did it debut?	signs and symptoms	19690		Answered if YES on at least one of DeclMemL5Y/DeclOtCogFuncL5Y/CogFuncWoPeer
HUNT:0000093	CogProgr	DeclMemL5Y|DeclOtCogFuncL5Y	How has it progressed?	signs and symptoms	19691		Answered if YES on at least one of DeclMemL5Y/DeclOtCogFuncL5Y/CogFuncWoPeer
HUNT:0000094	CogWo	DeclMemL5Y|DeclOtCogFuncL5Y	How has the progression been?	signs and symptoms	19692		Answered if YES on at least one of DeclMemL5Y/DeclOtCogFuncL5Y/CogFuncWoPeer
HUNT:0000095	CogDiffADL	DeclMemL5Y|DeclOtCogFuncL5Y	Has this made it harder to carry out any of the daily activities?	quality of life	19693		Answered if YES on at least one of DeclMemL5Y/DeclOtCogFuncL5Y/CogFuncWoPeer
HUNT:0000096	HallSeeHear	DeclMemL5Y|DeclOtCogFuncL5Y	Have you experienced seeing or hearing things that others do not experience?	signs and symptoms	19694		Answered if YES on at least one of DeclMemL5Y/DeclOtCogFuncL5Y/CogFuncWoPeer
HUNT:0000097	OthSayYouSuspi	DeclMemL5Y|DeclOtCogFuncL5Y	Does anyone say that you have become overly suspicious or can imagine things?	signs and symptoms	19695		Answered if YES on at least one of DeclMemL5Y/DeclOtCogFuncL5Y/CogFuncWoPeer
HUNT:0000098	FamDiagDem	HUNT70+ study part (NT4Eld)	Has anyone in your family had serious memory problems or dementia?	family history of disease	19696		
HUNT:0000099	DiagDemFam1	FamDiagDem	Dementia First-degree relatives	family history of disease	19697		
HUNT:0000100	DiagDemFam2	FamDiagDem	Dementia Second-degree relatives	family history of disease	19698		
HUNT:0000101	DemAsse	HUNT70+ study part (NT4Eld)	Have you ever been assessed for memory problems?	cognitive functioning	19699		Interview on previous dementie assessment
HUNT:0000102	DemAsseHosp	DemAsse	Hospital	hospitalizations	19700		self-reported location of previous dementia assessment
HUNT:0000103	DemAsseMunici	DemAsse	Municipal dementia team	physician/practitioner info	19701		self-reported location of previous dementia assessment
HUNT:0000104	DemAsseGP	DemAsse	General practitioner	physician/practitioner info	19702		self-reported location of previous dementia assessment
HUNT:0000105	DemAsseDntKn	DemAsse	Do not know	physician/practitioner info	19703		self-reported location of previous dementia assessment
HUNT:0000106	DemDiag	DemAsse	Do you have any diagnosis regarding your memory problems or a dementia disease?	mental and behaviour disorders	19704		self-reported dementia diagnosis
HUNT:0000107	DemDiagTyp	DemAsse	Name of diagnosis	mental and behaviour disorders	19705		self-reported dementia diagnosis
HUNT:0000108	PooAppeL4W	HUNT70+ study part (NT4Eld)	Have you had poor appetite last 4 weeks?	signs and symptoms	19706		
HUNT:0000109	FoIntaL4W	HUNT70+ study part (NT4Eld)	How will you describe your food intake last 4 weeks?	dietary history	19707		
HUNT:0000110	ChewFo	HUNT70+ study part (NT4Eld)	Are you able to chew any kind of food	functional limitations	19708		
