Term ID	Label	Parent Term	Definition	GECKO Category	Internal ID	Suggested Categories	Comment
PLCO:0000001	Identifiers						Added as grouping cat
PLCO:0000002	SQX Compliance						Added as grouping cat
PLCO:0000003	SQX Demographics						Added as grouping cat
PLCO:0000004	SQX Body Type						Added as grouping cat
PLCO:0000005	SQX Family History						Added as grouping cat
PLCO:0000006	SQX Health History						Added as grouping cat
PLCO:0000007	SQX Medications						Added as grouping cat
PLCO:0000008	SQX Physical Activity						Added as grouping cat
PLCO:0000009	SQX Tobacco						Added as grouping cat
PLCO:0000010	SQX Female Specifics						Added as grouping cat
PLCO:0000011	SQX Male Specifics						Added as grouping cat
PLCO:0000012	BQ Compliance						Added as grouping cat
PLCO:0000013	BQ Demographics						Added as grouping cat
PLCO:0000014	BQ Smoking						Added as grouping cat
PLCO:0000015	BQ Family History						Added as grouping cat
PLCO:0000016	BQ Body Type						Added as grouping cat
PLCO:0000017	BQ NSAIDS						Added as grouping cat
PLCO:0000018	BQ Diseases						Added as grouping cat
PLCO:0000019	BQ Female Specific						Added as grouping cat
PLCO:0000020	BQ Male Specific						Added as grouping cat
PLCO:0000021	BQ Prostate Surgery						Added as grouping cat
PLCO:0000022	MUQ Compliance						Added as grouping cat
PLCO:0000023	Demographics						Added as grouping cat
PLCO:0000024	Summary						Added as grouping cat
PLCO:0000025	Aspirin						Added as grouping cat
PLCO:0000026	Acetaminophen						Added as grouping cat
PLCO:0000027	NSAIDs						Added as grouping cat
PLCO:0000028	Prescription Drug Arrays						Added as grouping cat
PLCO:0000029	DHQ Compliance						Added as grouping cat
PLCO:0000030	DHQ Lifestyle						Added as grouping cat
PLCO:0000031	DHQ Nutrients: Total						Added as grouping cat
PLCO:0000032	DHQ Nutrients: Diet						Added as grouping cat
PLCO:0000033	DHQ Nutrients: Supplements						Added as grouping cat
PLCO:0000034	DHQ Nutrients: Glycemic Index/Load						Added as grouping cat
PLCO:0000035	DHQ Foods: Pyramid						Added as grouping cat
PLCO:0000036	DHQ Foods: My Pyramid Equivalents						Added as grouping cat
PLCO:0000037	DHQ Foods: Grams						Added as grouping cat
PLCO:0000038	DHQ Foods: Grams Groupings						Added as grouping cat
PLCO:0000039	DHQ Foods: Grams Meat Cooking						Added as grouping cat
PLCO:0000040	DHQ Foods: Frequency Responses						Added as grouping cat
PLCO:0000041	DHQ Foods: Percent of Energy						Added as grouping cat
PLCO:0000042	DHQ HEI						Added as grouping cat
PLCO:0000043	DQX Compliance						Added as grouping cat
PLCO:0000044	DQX Lifestyle						Added as grouping cat
PLCO:0000045	DQX Nutrients: Total						Added as grouping cat
PLCO:0000046	DQX Nutrients: Diet						Added as grouping cat
PLCO:0000047	DQX Nutrients: Supplements						Added as grouping cat
PLCO:0000048	DQX Nutrients: Glycemic Index/Load						Added as grouping cat
PLCO:0000049	DQX Foods: Pyramid						Added as grouping cat
