Term ID	Label	Parent Term	Definition	GECKO Category	Internal ID	Suggested Categories	Comment
VZ:0000001	BP Measured Ever			blood pressure	BPMeasuredEver		
VZ:0000002	Ever Been Informed of High BP			signs and symptoms	HighBPInformedEver		
VZ:0000003	Informed of High BP in 12 Months			signs and symptoms	HighBPInformed12mo		
VZ:0000004	High BP Consultation 6 months			signs and symptoms	HighBPConsult6mo		
VZ:0000005	High BP Treatment in the Last 2 Weeks			associated disease(s)	HighBPTx2wks		
VZ:0000006	Referral due to Existing High Blood Pressure			signs and symptoms	BPReferralExist		
VZ:0000007	Reasons for Referral due to Existing High Blood Pressure			signs and symptoms	BPReferralExistReason		
VZ:0000008	Referral due to Non Existing High Blood Pressure			signs and symptoms	BPReferralNonExist		
VZ:0000009	Reasons for Referral due to Non Existing High Blood Pressure			signs and symptoms	BPReferralNonExistReason		
VZ:0000010	High BP Consultation With Traditional Healer			signs and symptoms	HighBPConsultHealer		
VZ:0000011	Currently Taking Herbal Treatment for Raised BP			non-pharmacological interventions	HighBPHerbalCurr		
VZ:0000012	Blood Sugar Measured Ever			blood	BSugarMeasuredEver		
VZ:0000013	High Blood Sugar Informed Ever			signs and symptoms	HighBSugarInformedEver		
VZ:0000014	High Blood Sugar Informed Past 12 Months			signs and symptoms	HighBSugarInformed12mo		
VZ:0000015	High Blood Sugar Consultation Past 6 months			signs and symptoms	HighBSugarConsult6mo		
VZ:0000016	High Blood Sugar Treatment Past 2 Weeks			associated disease(s)	HighBSugarTx2wks		
VZ:0000017	Currently Taking Insulin for Diabetes			associated disease(s)	InsulinTxCurr		
VZ:0000018	High Blood Sugar Consultation With Traditional Healer			signs and symptoms	HighBSugarConsultHealer		
VZ:0000019	Cholesterol Measured Ever			blood	CholestMeasuredEver		
VZ:0000020	High Cholesterol Informed Ever			signs and symptoms	HighCholestInformedEver		
VZ:0000021	High Cholesterol Informed Past 12 Months			signs and symptoms	HighCholestInformed12mo		
VZ:0000022	High Cholesterol Treatment Past 2 Weeks			associated disease(s)	HighCholestTx2wks		
VZ:0000023	High Cholesterol Consultation With Traditional Healer			signs and symptoms	HighCholestConsultHealer		
VZ:0000024	Currently Taking Herbal Treatment for Raised Cholesterol			non-pharmacological interventions	HighCholestHerbalCurr		
VZ:0000025	Heart Attack Ever			cardiovascular diseases	HeartAttackEver		
VZ:0000026	Currently Taking Aspirin Treatment			medication	HeartAttackAspirinTxCurr		
VZ:0000027	Currently Taking statins (Lovastatin/Simvastatin/Atorvastatin) to prevent Heart Disease			medication	HeartAttackStatinsTxCurr		
VZ:0000028	Parental History of Heart Attack			cardiovascular diseases	ParentHistHeartAttack		
VZ:0000029	History of Stroke			cardiovascular diseases	HadStrokeEver		
VZ:0000030	Currently Taking statins (Lovastatin/Simvastatin/Atorvastatin) to prevent Stroke			medication	StrokeAspirinTxCurr		
VZ:0000031	Parental History of Stroke			cardiovascular diseases	ParentHistStroke		
VZ:0000032	Cancer Treatment Before				CancerTxEver		is this non-pharmacological (potential surgery) or medication for cancer?
VZ:0000033	Currently Smoking Tobacco			tobacco use history	CurrSmoker		
VZ:0000034	Smoke Tobacco Products Daily			tobacco use history	CurrSmokerDaily		
VZ:0000035	Quit Stopping Tobacco			tobacco use history	StopSmoking12mo		
VZ:0000036	Ever Smoked Tobacco Products			tobacco use history	EverSmoked		
VZ:0000037	Ever Smoked Tobacco Products Daily			tobacco use history	EverSmokedDaily		
VZ:0000038	Ever Consumed Alcohol			alcohol use history	EverConsumedAlcohol		
VZ:0000039	Consumed Alcohol Last 12 Months			alcohol use history	ConsumedAlcohol12mo		
VZ:0000040	Stopped Alcohol for Health Reasons			alcohol use history	StoppedAlcoholHealth		
VZ:0000041	Consumed Alcohol Last 30 days			alcohol use history	ConsumedAlcohol30d		
VZ:0000042	TB Current Treatment			associated disease(s)	TBTxCurrent		
VZ:0000043	TB Current Treatment			associated disease(s)	ReceivedTBInjections		
VZ:0000044	Ever had TB Treatment			associated disease(s)	TBTxEver		
VZ:0000045	Homestead Member TB Ever			diseases	HomesteadMemberTBEver		
VZ:0000046	Homestead (or residential plot) currently on TB treatment			diseases	HomesteadMemberTBCurr		
VZ:0000047	currently have a cough?			signs and symptoms	CoughCurr		
VZ:0000048	Have a fever currently			signs and symptoms	FeverCurr		
VZ:0000049	Night Sweats			signs and symptoms	NightSweatsCurr		
VZ:0000050	Weight Loss in 6 months			signs and symptoms	WeightLoss6mo		
VZ:0000051	Other TB Symptoms			signs and symptoms	OtherSymptoms		
VZ:0000052	Fatigue			signs and symptoms	Fatigue		
VZ:0000053	Haemoptysis			signs and symptoms	Haemoptysis		
VZ:0000054	Chestpain			signs and symptoms	Chestpain		
VZ:0000055	Lymphadenitis			signs and symptoms	Lymphadenitis		
VZ:0000056	Duration of the TB symptoms(weeks)			signs and symptoms	TBSymptDur		
VZ:0000057	High Asthma InformededEver			respiratory system diseases	HighAsthmaInformedEver		
VZ:0000058	Been told of high Asthma			respiratory system diseases	HighAsthmaInformed12mo		
VZ:0000059	Taken any medication for asthma/COPD prescribed by a doctor or other health worker			associated disease(s)	HighhAsthmaTx2wks		
VZ:0000060	Shortness of breath after exercise or physical activity			signs and symptoms	BreathShortness		
VZ:0000061	Wake up at night because of difficulties in breathing/shortness of breath			signs and symptoms	WakeUpBreathShortness		
VZ:0000062	NightWheezing			signs and symptoms	NightWheezing		
VZ:0000063	Received HIV Test Result			laboratory measures	ReceivedHIVTestResult		
VZ:0000064	Had Positive HIV Result			laboratory measures|diseases	HadPosHIVResult		
VZ:0000065	Currently On ART Treatment			associated disease(s)	CurrentlyOnART		
VZ:0000066	Ever Defaulted ART treatment			associated disease(s)	ARTDefault		
VZ:0000067	Taking Concurrent Medication 1			medication	ConcurrMed1Curr		
VZ:0000068	Taking Concurrent Medication 2			medication	ConcurrMed2Curr		
VZ:0000069	Taking Concurrent Medication 3			medication	ConcurrMed3Curr		
VZ:0000070	Taking Concurrent Medication 4			medication	ConcurrMed4Curr		
VZ:0000071	Adherence Concurrent Medication 2			medication	ConcurrMed2Adher		
VZ:0000072	Adherence Concurrent Medication 3			medication	ConcurrMed3Adher		
VZ:0000073	Adherence Concurrent Medication 4			medication	ConcurrMed4Adher		
VZ:0000074	Adherence Concurrent Medication 5			medication	ConcurrMed5Adher		
VZ:0000075	Stopped Concurrent Medication 1			medication	ConcurrMed1Stopped		
VZ:0000076	Stopped Concurrent Medication 2			medication	ConcurrMed2Stopped		
VZ:0000077	Stopped Concurrent Medication 3			medication	ConcurrMed3Stopped		
VZ:0000078	Stopped Concurrent Medication 4			medication	ConcurrMed4Stopped		
VZ:0000079	Stopped Concurrent Medication 5			medication	ConcurrMed5Stopped		
VZ:0000080	Is Pregant			reproduction	IsPregant		
VZ:0000081	All Complete			survey administration	AllComplete		
VZ:0000082	Chest X Ray Screening Result			physiological measurements	CxrScreeningResult		
VZ:0000083	Chest X Referal Basis			physiological measurements	ReferalBasisCxr		
VZ:0000084	Chest X Ray Score			physiological measurements	CXRScore		
VZ:0000085	Sputum Referral			survey administration	SputumReferral		
VZ:0000086	Chest X Ray Medical Officer Conclusion			physiological measurements	CxrMOConclusion		
VZ:0000087	Chest X Ray Medical Officer Diagnostic Other			physiological measurements	CxrMODiagnosticOther		
VZ:0000088	Chest X Ray Medical Officer Report			physiological measurements	CxrMOReport		
VZ:0000089	Chest X Ray Radiologist Diagnostic Other			physiological measurements	CxrRadiologistDiagnosticOther		
VZ:0000090	Chest X Ray Radiologist Report			physiological measurements	CxrRadiologistReport		
VZ:0000091	HIV Elisa Medical Officer Review			laboratory measures	HIVElisaReview		
VZ:0000092	CD4 Medical Officer Review			laboratory measures	CD4Review		
VZ:0000093	Viral Load Medical Officer Review			laboratory measures	VLReview		
VZ:0000094	GeneXpert Medical Officer Review			laboratory measures	GeneXpertReview		
VZ:0000095	Rifampicin Medical Officer Review				RifampicinReview		
VZ:0000096	LiquidCulture Medical Officer Review			laboratory measures	LiquidCultureReview		
VZ:0000097	SolidCulture Medical Officer Review			laboratory measures	SolidCultureReview		
VZ:0000098	HBA1CPercent Medical Officer Review			laboratory measures	HBA1CPercentReview		
VZ:0000099	Medical Officer CXR Interpretation			physiological measurements	CXRInterpretation		
VZ:0000100	Medical Officer CXR Interpretation Description			physiological measurements	CXRInterpretationDesc		
VZ:0000101	Medical Officer Suggested Outcome			survey administration	MOSuggestedOutcome		
VZ:0000102	Medical Officer Final Outcome			survey administration	MOFinalOutcome		
VZ:0000103	Medical Officer Suggested Second Outcome			survey administration	MOSuggestedSecondRoundOutcome		
VZ:0000104	Medical Officer Second Round Final Outcome			survey administration	MOSecondRoundOutcome		
VZ:0000105	Medical Officer Diabetes Message			endocrine system diseases	DiabetesMessage		
VZ:0000106	Medical Officer HIV Message			diseases	HIVMessage		
VZ:0000107	Medical Officer Chest X-Ray Message			physiological measurements	CxrMessage		
VZ:0000108	Medical Officer Second Round Message			survey administration	SecondRoundMessage		
VZ:0000109	System Algorythm Flaged Conditions			survey administration	MOSecondRoundMessage		
VZ:0000110	Medical Officer Agreement with System Generated Message			survey administration	MOAgreeSecondRoundMessage		
VZ:0000111	Medical Officer Outcome Description			survey administration	MOOutcomeDesc		
VZ:0000112	Medical Officer Suggested Second Condition			survey administration	MOSuggestedSecondCondition		
VZ:0000113	Medical Officer Agreement with Second Outcome			survey administration	MOAgreeSecondRoundOutcome		
VZ:0000114	Medical Officer Outcome Description			survey administration	MOSecondRoundOutcomeDesc		
VZ:0000115	Medical Officer Conditions			survey administration	MOConditions		
VZ:0000116	BP Referral from Follow up Visit			signs and symptoms	BPReferallFU		
VZ:0000117	Diabetes Referral from Follow up Visit			endocrine system diseases	DiabetesReferallFU		
VZ:0000118	HIV Referral from Follow up Visit			diseases	HIVReferallFU		
VZ:0000119	TB Referral from Follow up Visit			diseases	TBReferallFU		
VZ:0000120	Homestead Induced TB Sputum Collected			other biosample type	InducedTBSputumHome		
VZ:0000121	Homestead Spontatneous TB Sputum Collected			other biosample type	SpontTBSputumHome		
VZ:0000122	Home TB Sputum Outcomeollected			other biosample type	HomeTBSputumOutcome		
VZ:0000123	Follow Up Glucose			blood	FUGlucose		
VZ:0000124	Follow Up Glucose Result			blood	FUGlucoseResult		
VZ:0000125	FUDiabetesDiagnosis			endocrine system diseases	FUDiabetesDiagnosis		
VZ:0000126	Follow Up Target Clinic/Hospital Date for Diabetes			endocrine system diseases|date and time-related information	FUDiabetesClinicDate		
VZ:0000127	Clinical Systolic Blood pressure reading			blood pressure	FUSystolicBp		
VZ:0000128	Clinical Diastolic Blood pressure reading			blood pressure	FUDiastolicBp		
VZ:0000129	FUBpDiagnosis			signs and symptoms	FUBpDiagnosis		
VZ:0000130	Follow Up Target Clinic/Hospital for Blood Pressure			signs and symptoms	FUTBpClinicDate		
VZ:0000131	Follow Up Target Clinic/Hospital Date			date and time-related information	FUHIVStatusInformed		
VZ:0000132	SST1 Collected			other biosample type	SST1Collected		
VZ:0000133	SST1 Not Collected Reason			survey administration	SST1NotCollectedReason		
VZ:0000134	EDT1 Collected			other biosample type	EDT1Collected		
VZ:0000135	EDT1 Not Collected Reasonn			survey administration	EDT1NotCollectedReason		
VZ:0000136	EDT2 Collected			other biosample type	EDT2Collected		
VZ:0000137	EDT2 Not Collected Reasonn			survey administration	EDT2NotCollectedReason		
VZ:0000138	EDT3_1 Collected			other biosample type	EDT3_1Collected		
VZ:0000139	EDT3_1 Not Collected Reasonn			survey administration	EDT3_1NotCollectedReason		
VZ:0000140	EDT3_2 Collected			other biosample type	EDT3_2Collected		
VZ:0000141	EDT3_2 Not Collected Reasonn			survey administration	EDT3_2NotCollectedReason		
VZ:0000142	PAX1 Collected			other biosample type	PAX1Collected		
VZ:0000143	PAX1 Not Collected Reason			survey administration	PAX1NotCollectedReason		
VZ:0000144	Ssp1 Collected			other biosample type	Ssp1Collected		
VZ:0000145	Spontaneous Sputum Obtained			survey administration	SpontaneousSputumObtained		
VZ:0000146	Spontaneous Sputum Not Obtained Reason			survey administration	SpontaneousSputumNotObtainedReason		
VZ:0000147	Induced Sputum Obtained			other biosample type	InducedSputumObtained		
VZ:0000148	Induced Sputum Not Obtained Reason			survey administration	InducedSputumNotObtainedReason		
VZ:0000149	SSP Bottle Collected			other biosample type	SSPBottleCollected		
VZ:0000150	Induced Sputum Not Obtained Other Reason Explain			survey administration	InducedSputumNotObtainedOtherReasonExplain		
VZ:0000151	Swab Sample1 Collected			other biosample type	SwabSample1Collected		
VZ:0000152	Swab Sample1 Not Collected Reason			survey administration	SwabSample1NotCollectedReason		
VZ:0000153	Swab Sample2 Collected			other biosample type	SwabSample2Collected		
VZ:0000154	Swab Sample2 Not Collected Reason			survey administration	SwabSample2NotCollectedReason		
VZ:0000155	Urine Sample Collected			urine	UrineSampleCollected		
VZ:0000156	Urine Sample Not Collected Reason			survey administration	UrineSampleNotCollectedReason		
VZ:0000157	Urine Sample Collected			urine	UrineSampleCollected		
VZ:0000158	Urine Sample Not Collected Reason			survey administration	UrineSampleNotCollectedReason		
VZ:0000159	pregnancy Test Result			reproduction	PregTestResult		
VZ:0000160	pregnancy Test Result Notified			survey administration	PregTestResultNotified		
VZ:0000161	Failed to measure Blood Glucose at Home Follow Up visit			survey administration	BloodGlucoseFailFU		
VZ:0000162	Failed to measure Blood Pressure at Home Follow Up visit			survey administration	BPFailFU		
VZ:0000163	Failed to refer New HIV Positive case to Clinic at Home Follow Up visit			survey administration	NewHIVReferralFailFU		
VZ:0000164	CD4 quantity not sufficient, specimen missing, or unable to run			survey administration	CD4LabStatus		
VZ:0000165	CD4 quantity not sufficient, specimen missing, or unable to run comment			survey administration	CD4LabComment		
VZ:0000166	HIV ELISA quantity not sufficient, specimen missing, or unable to run			survey administration	HIVELisaLabStatus		
VZ:0000167	HIV ELISA quantity not sufficient, specimen missing, or unable to run comment			survey administration	HIVELisaLabComment		
VZ:0000168	VL quantity not sufficient, specimen missing, or unable to run			survey administration	VLLabStatus		
VZ:0000169	VL quantity not sufficient, specimen missing, or unable to run comment			survey administration	VLLabComment		
VZ:0000170	Hb A1c quantity not sufficient, specimen missing, or unable to run			survey administration	HbA1LabStatus		
VZ:0000171	Hb A1c quantity not sufficient, specimen missing, or unable to run comment			survey administration	HbA1LabComment		
VZ:0000172	Gene Xpert quantity not sufficient, specimen missing, or unable to run			survey administration	GeneXpertLabStatus		
VZ:0000173	Gene Xpert quantity not sufficient, specimen missing, or unable to run comment			survey administration	GeneXpertLabComment		
VZ:0000174	MGIT culture quantity not sufficient, specimen missing, or unable to run			survey administration	MGITCultureLabStatus		
VZ:0000175	MGIT culture quantity not sufficient, specimen missing, or unable to run comment			survey administration	MGITCultureLabComment		
VZ:0000176	Solid culture quantity not sufficient, specimen missing, or unable to run			survey administration	SolidCultureLabStatus		
VZ:0000177	Solid culture quantity not sufficient, specimen missing, or unable to run comment			survey administration	SolidCultureLabComment		
VZ:0000178	Phone Call Attempts failed to contact Participant			survey administration	PhoneCallFail		
VZ:0000179	Home Visit Attempts failed to contact Participant			survey administration	HomeVisitFail		
VZ:0000180	Failed to refer Positive Sputum case to Clinic or Hospital			survey administration	SputumPosRefFail		
VZ:0000181	Has the participant consented to be informed about their HIV results			survey administration	ConsentInformedHIV		
VZ:0000182	Participant Has Diagnosis Other than TB that requires referral to the clinic or hospital			diseases	FUCXROtherReferral		
VZ:0000183	Cancer Type			cancer	CancerType		
VZ:0000184	Age Started Smoking Tobacco			tobacco use history	AgeStartedSmoking		
VZ:0000185	Years Ago Individual Started Smoking			tobacco use history	YearsAgoStartedSmoking		
VZ:0000186	Months Ago Individual Started Smoking			tobacco use history	MonthsAgoStartedSmoking		
VZ:0000187	Weeks Ago Individual Started Smoking			tobacco use history	WeeksAgoStartedSmoking		
VZ:0000188	Manufactured Cigarettes Smoked Daily			tobacco use history	ManufacturedCigarettesDaily		
VZ:0000189	Manufactured Cigarettes Smoked Weekly			tobacco use history	ManufacturedCigarettesWeekly		
VZ:0000190	Hand Rolled Cigarettes Smoked Daily			tobacco use history	HandRolledCigarettesDaily		
VZ:0000191	Hand Rolled Cigarettes Smoked Weekly			tobacco use history	HandRolledCigarettesWeekly		
VZ:0000192	Piped Tobacco Cigarettes Smoked Daily			tobacco use history	PipedTobaccoDaily		
VZ:0000193	Piped Tobacco Cigarettes Smoked Weekly			tobacco use history	PipedTobaccoWeekly		
VZ:0000194	Piped Tobacco Cigarettes Smoked Weekly			tobacco use history	PipedTobaccoWeekly		
VZ:0000195	Cigars or Cheroots Daily			tobacco use history	CigarsRcherootsDaily		
VZ:0000196	Cigars or Cheroots Smoked Weekly			tobacco use history	CigarsORcherootsWeekly		
VZ:0000197	Cigars or Cheroots Smoked Daily			tobacco use history	ShishaSessionsDaily		
VZ:0000198	Cigars or Cheroots Smoked Weekly			tobacco use history	ShishaSessionsWeekly		
VZ:0000199	Other Tobacco Smoked Daily			tobacco use history	OtherTobaccoSpecifyDaily		
VZ:0000200	Other Tobacco Smoked Weekly			tobacco use history	OtherTobaccoWeekly		
VZ:0000201	Other Tobacco Specify Daily			tobacco use history	OtherTobaccoSpecifyDailySpec		
VZ:0000202	Other Tobacco Specify Weekly			tobacco use history	OtherTobaccoWeeklySpec		
VZ:0000203	Alcohol Consumption Frequency			alcohol use history	ConsumptionFrequency		
VZ:0000204	Occassions Consumed Alcohol			alcohol use history	ConsumedAlcoholOccassions		
VZ:0000205	Drinks Consumed During Occassion			alcohol use history	DrinksConsumedOccassions		
VZ:0000206	Drinks Per Occassion			alcohol use history	DrinksPerOccassion		
VZ:0000207	Six Drinks Per Occassion or More Consumed			alcohol use history	SixDrinksPerOccassion		
VZ:0000208	Last Week Monday Drinks			alcohol use history	LastWeekMondayDrinks		
VZ:0000209	Last Week Tuesday Drinks			alcohol use history	LastWeekTuesdayDrinks		
VZ:0000210	Last Week Wednesday Drinks			alcohol use history	LastWeekWednesdayDrinks		
VZ:0000211	Last Week Thursday Drinks			alcohol use history	LastWeekThursdayDrinks		
VZ:0000212	Last Week Friday Drinks			alcohol use history	LastWeekFridayDrinks		
VZ:0000213	Last Week Saturday Drinks			alcohol use history	LastWeekSaturdayDrinks		
VZ:0000214	Last Week Sunday Drinks			alcohol use history	LastWeekSundayDrinks		
VZ:0000215	Consumed Home Bred Alcohol			alcohol use history	ConsumedHomeBredAlcohol		
VZ:0000216	Number Home Bred Spirits			alcohol use history	NumberHomeBredSpirits		
